"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 상당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"31","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","46.8300","202511","03","3,136","26","22","2020","호미로 137","202511~202712","신규","-","","","아파트"
"32","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202511","03","1,956","19","22","2020","호미로 137","202511~202712","신규","-","","","아파트"
"33","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202511","03","1,956","19","24","2020","호미로 137","202511~202712","신규","-","","","아파트"
"34","충청북도 청주시 상당구 방서동","654","0654","0000","청주센트럴자이","전세","84.7377","202511","02","38,000","0","23","2018","단재로 316","-","-","-","","","아파트"
"35","충청북도 청주시 상당구 방서동","654","0654","0000","청주센트럴자이","전세","84.7377","202511","02","38,000","0","23","2018","단재로 316","202511~202711","갱신","-","34,000","0","아파트"
"36","충청북도 청주시 상당구 용암동","3150","3150","0000","청주동남우미린에듀포레","전세","84.9395","202511","02","40,000","0","25","2021","중고개로142번길 20","202512~202712","신규","-","","","아파트"
"37","충청북도 청주시 상당구 금천동","124","0124","0000","효성","전세","84.9900","202511","02","11,000","0","11","1998","수영로 204","202511~202711","신규","-","","","아파트"
"38","충청북도 청주시 상당구 용담동","436","0436","0000","가좌마을용담이-편한세상","전세","107.3396","202511","01","30,300","0","7","2004","호미로 330","202512~202712","신규","-","","","아파트"
"39","충청북도 청주시 상당구 금천동","477","0477","0000","금천센트럴파크스타힐스","전세","84.6785","202510","31","27,000","0","1","2020","쇠내로 48","202601~202801","신규","-","","","아파트"
"40","충청북도 청주시 상당구 금천동","124","0124","0000","효성","월세","27.2900","202510","31","200","25","9","1998","수영로 204","202511~202711","신규","-","","","아파트"
"41","충청북도 청주시 상당구 용암동","2537","2537","0000","중흥마을마이빌아파트","전세","59.9019","202510","30","13,700","0","5","2003","중흥로 148","-","-","-","","","아파트"
"42","충청북도 청주시 상당구 용암동","3151","3151","0000","칸타빌더테라스1단지","전세","84.9258","202510","30","40,000","0","22","2019","중고개로 140","202512~202712","신규","-","","","아파트"
"43","충청북도 청주시 상당구 용암동","2537","2537","0000","중흥마을마이빌아파트","전세","59.9019","202510","30","13,700","0","5","2003","중흥로 148","202512~202712","신규","-","","","아파트"
"44","충청북도 청주시 상당구 탑동","390","0390","0000","센트럴힐데스하임","전세","84.8470","202510","30","35,000","0","25","2022","용담로 50","202512~202712","신규","-","","","아파트"
"45","충청북도 청주시 상당구 금천동","77-7","0077","0007","뉴타운","전세","59.9600","202510","29","9,000","0","3","1993","꽃산동로 41","202601~202801","갱신","-","8,500","0","아파트"
"46","충청북도 청주시 상당구 금천동","81","0081","0000","덕성","전세","58.6800","202510","29","7,200","0","8","1993","꽃산동로 15-1","202512~202712","신규","-","","","아파트"
"47","충청북도 청주시 상당구 용암동","3146","3146","0000","시티프라디움1단지","월세","84.9823","202510","29","3,000","140","11","2020","중고개로142번길 31","202511~202611","신규","-","","","아파트"
"48","충청북도 청주시 상당구 북문로2가","78-10","0078","0010","아트에비뉴198","월세","18.9750","202510","28","200","10","6","2016","중앙로 9-1","202510~202712","신규","-","","","아파트"
"49","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202510","28","2,412","28","20","2020","호미로 137","202512~202711","갱신","-","1,850","18","아파트"
"50","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","46.9700","202510","28","5,906","12","22","2020","호미로 137","202512~202711","갱신","-","5,766","10","아파트"
"51","충청북도 청주시 상당구 북문로2가","78-10","0078","0010","아트에비뉴198","월세","38.0300","202510","28","100","20","14","2016","중앙로 9-1","202510~202712","신규","-","","","아파트"
