"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"129","충청북도 청주시 흥덕구 복대동","6**","단독","8m미만","72.79","133.00","202505","26","7,200","개인","개인","1979","내수동로12번길","-","직거래","-"
"130","충청북도 청주시 흥덕구 복대동","8**","다가구","8m미만","198.82","198.40","202505","21","29,000","개인","개인","1986","내수동로45번길","-","중개거래","충북 청주시 흥덕구"
"131","충청북도 청주시 흥덕구 송절동","3**","단독","8m미만","210.00","605.40","202505","20","51,590","법인","개인","1950","원터로29번길","20250527","중개거래","충북 청주시 상당구"
"132","충청북도 청주시 흥덕구 봉명동","8**","다가구","12m미만","587.43","287.80","202505","20","103,500","개인","개인","2016","천석로65번길","-","중개거래","충북 청주시 서원구"
"133","충청북도 청주시 흥덕구 송절동","3**","단독","8m미만","210.00","605.40","202505","20","51,590","법인","개인","1950","원터로29번길","-","중개거래","충북 청주시 상당구"
"134","충청북도 청주시 흥덕구 가경동","2***","다가구","25m미만","363.96","213.10","202505","20","79,250","개인","개인","2009","서현중로36번길","-","중개거래","충북 청주시 흥덕구"
"135","충청북도 청주시 흥덕구 봉명동","1***","다가구","8m미만","495.77","272.40","202505","19","83,000","개인","개인","2013","1순환로611번길","-","중개거래","충북 청주시 서원구"
"136","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","357.48","214.00","202505","17","54,000","개인","개인","2002","짐대로46번길","-","중개거래","충북 청주시 흥덕구"
"137","충청북도 청주시 흥덕구 복대동","1***","다가구","8m미만","374.13","201.20","202505","15","57,000","개인","개인","2010","복대로158번길","-","중개거래","충북 청주시 흥덕구"
"138","충청북도 청주시 흥덕구 강서동","4*","단독","8m미만","193.94","194.00","202505","13","25,000","개인","개인","1994","가로수로1144번길","-","중개거래","충북 청주시 흥덕구"
"139","충청북도 청주시 흥덕구 복대동","1***","단독","8m미만","214.88","230.20","202505","12","27,000","개인","개인","1990","가로수로1380번길","-","중개거래","충북 청주시 흥덕구"
"140","충청북도 청주시 흥덕구 봉명동","2**","다가구","12m미만","603.26","326.50","202505","11","129,000","개인","개인","2015","1순환로594번길","-","중개거래","충북 청주시 서원구"
"141","충청북도 청주시 흥덕구 운천동","9**","단독","8m미만","163.97","181.10","202505","07","32,500","개인","개인","1988","직지대로747번길","-","중개거래","충북 청주시 서원구"
"142","충청북도 청주시 흥덕구 복대동","1**","다가구","8m미만","355.29","237.70","202505","05","28,000","개인","개인","1996","가로수로1354번길","-","중개거래","충북 청주시 흥덕구"
"143","충청북도 청주시 흥덕구 강내면 월탄리","4*","단독","8m미만","444.26","446.00","202505","03","69,845","개인","개인","2013","월탄3길","-","중개거래","충북 청주시 흥덕구"
"144","충청북도 청주시 흥덕구 복대동","1***","단독","8m미만","224.61","214.60","202505","01","18,000","개인","개인","1992","풍산로166번길","-","직거래","-"
"145","충청북도 청주시 흥덕구 복대동","8**","단독","8m미만","194.58","197.00","202504","29","22,000","개인","개인","1989","가로수로1362번길","-","중개거래","충북 청주시 흥덕구"
"146","충청북도 청주시 흥덕구 강내면 저산리","1**","단독","8m미만","148.66","496.00","202504","28","53,908","개인","법인","2023","저산1길","-","직거래","-"
"147","충청북도 청주시 흥덕구 강내면 저산리","1**","단독","8m미만","148.66","496.00","202504","28","54,040","개인","법인","2023","저산1길","20250626","직거래","-"
"148","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","430.72","235.20","202504","27","81,000","개인","개인","2015","서현서로29번길","-","중개거래","충북 청주시 흥덕구"
"149","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","186.30","267.00","202504","27","28,700","개인","개인","1985","천석로36번길","-","중개거래","충북 청주시 서원구"
"150","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","352.53","207.70","202504","26","48,000","개인","개인","2002","증안로22번길","-","직거래","-"
"151","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","190.80","188.30","202504","24","25,000","개인","개인","1987","과상미로10번길","-","중개거래","충북 청주시 흥덕구"
"152","충청북도 청주시 흥덕구 복대동","1***","단독","8m미만","230.40","208.00","202504","23","26,000","개인","개인","1990","풍산로155번길","-","중개거래","충북 청주시 흥덕구"
"153","충청북도 청주시 흥덕구 가경동","8**","단독","12m미만","352.26","168.40","202504","23","41,800","개인","개인","1993","가경로189번길","-","중개거래","충북 청주시 상당구"
"154","충청북도 청주시 흥덕구 비하동","3**","다가구","8m미만","541.53","316.00","202504","22","110,000","법인","개인","2018","2순환로","20250730","중개거래","충북 청주시 상당구, 충북 청주시 서원구"
"155","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","368.81","224.60","202504","22","66,200","개인","개인","2010","서현중로27번길","-","직거래","-"
"156","충청북도 청주시 흥덕구 비하동","6**","단독","12m미만","85.10","309.00","202504","22","45,000","개인","개인","1987","청향로14번길","-","직거래","-"
"157","충청북도 청주시 흥덕구 비하동","3**","다가구","8m미만","541.53","316.00","202504","22","108,800","법인","개인","2018","2순환로","-","중개거래","충북 청주시 상당구, 충북 청주시 서원구"
"158","충청북도 청주시 흥덕구 송절동","6**","다가구","12m미만","469.26","265.00","202504","22","103,000","법인","개인","2019","송화로116번길","20250609","중개거래","충북 청주시 흥덕구"
"159","충청북도 청주시 흥덕구 봉명동","1***","단독","12m미만","198.26","194.20","202504","21","24,000","개인","법인","1989","과상미로9번길","-","중개거래","충북 청주시 흥덕구"
"160","충청북도 청주시 흥덕구 옥산면 수락리","1**","단독","8m미만","88.34","155.00","202504","21","3,000","개인","개인","1978","수락1길","-","직거래","-"
"161","충청북도 청주시 흥덕구 복대동","7**","다가구","8m미만","503.04","216.00","202504","19","37,000","개인","법인","2002","가로수로1354번길","-","중개거래","충북 청주시 흥덕구"
"162","충청북도 청주시 흥덕구 복대동","9**","단독","8m미만","196.78","182.00","202504","17","27,000","법인","개인","1990","복대로163번길","-","중개거래","충북 청주시 흥덕구"
"163","충청북도 청주시 흥덕구 강서동","2*","단독","8m미만","392.54","264.00","202504","17","83,000","개인","개인","2016","가로수로1164번길","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구"
"164","충청북도 청주시 흥덕구 복대동","9**","단독","8m미만","235.67","197.10","202504","17","27,500","법인","개인","1990","가로수로1312번길","-","중개거래","충북 청주시 흥덕구"
"165","충청북도 청주시 흥덕구 복대동","2**","다가구","8m미만","493.00","220.00","202504","15","53,000","개인","기타","2003","죽천로131번길","-","중개거래","충북 청주시 서원구"
"166","충청북도 청주시 흥덕구 옥산면 오산리","5**","단독","12m미만","78.54","229.00","202504","14","28,000","개인","개인","1990","옥산시내3길","-","직거래","-"
"167","충청북도 청주시 흥덕구 봉명동","8**","다가구","25m미만","549.56","281.00","202504","14","123,000","개인","개인","2015","예체로179번길","20250625","중개거래","충북 청주시 흥덕구"
"168","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","199.56","212.60","202504","14","25,000","개인","개인","1987","과상미로10번길","-","직거래","-"
"169","충청북도 청주시 흥덕구 봉명동","1***","다가구","12m미만","617.98","265.50","202504","13","185,000","개인","개인","2023","과상미로9번길","-","중개거래","충북 청주시 흥덕구"
"170","충청북도 청주시 흥덕구 봉명동","5**","단독","8m미만","316.38","262.00","202504","13","23,000","개인","개인","1991","직지대로639번길","-","중개거래","충북 청주시 흥덕구"
"171","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","483.36","204.70","202504","11","45,500","개인","개인","2001","진재로36번길","-","중개거래","충북 청주시 흥덕구"
"172","충청북도 청주시 흥덕구 비하동","7*","다가구","12m미만","520.08","314.00","202504","10","78,000","개인","개인","2014","가로수로1132번길","-","중개거래","충북 청주시 흥덕구"
"173","충청북도 청주시 흥덕구 복대동","2**","단독","12m미만","282.95","147.00","202504","09","69,000","개인","개인","2019","죽천로146번길","20250409","중개거래","충북 청주시 흥덕구"
"174","충청북도 청주시 흥덕구 복대동","1**","단독","8m미만","130.24","115.00","202504","09","31,500","개인","개인","2017","죽천로118번길","-","중개거래","충북 청주시 청원구"
"175","충청북도 청주시 흥덕구 가경동","7**","다가구","25m미만","243.89","204.80","202504","09","25,400","개인","개인","1993","가경로173번길","-","중개거래","충북 청주시 서원구"
"176","충청북도 청주시 흥덕구 운천동","1***","단독","8m미만","177.64","176.10","202504","08","31,000","개인","개인","1987","흥덕로128번길","20250930","중개거래","충북 청주시 흥덕구"
"177","충청북도 청주시 흥덕구 운천동","1***","단독","8m미만","177.64","176.10","202504","08","31,000","법인","개인","1987","흥덕로128번길","-","중개거래","충북 청주시 흥덕구"
"178","충청북도 청주시 흥덕구 봉명동","2***","단독","12m미만","423.17","282.50","202504","07","61,500","개인","개인","2007","덕암로71번길","-","중개거래","충북 청주시 흥덕구"
"179","충청북도 청주시 흥덕구 가경동","8**","단독","8m미만","239.76","168.30","202504","06","22,000","개인","개인","1994","가경로189번길","-","중개거래","충북 청주시 흥덕구"
"180","충청북도 청주시 흥덕구 옥산면 사정리","1**","단독","8m미만","81.47","914.00","202504","05","12,500","개인","개인","1930","","-","중개거래","충북 청주시 상당구"
"181","충청북도 청주시 흥덕구 송절동","6*","단독","8m미만","40.66","391.00","202504","04","53,760","법인","개인","1970","신정로23번길","-","직거래","-"
"182","충청북도 청주시 흥덕구 비하동","6**","다가구","8m미만","146.79","141.00","202504","04","20,800","개인","개인","1990","청향로38번길","-","직거래","-"
"183","충청북도 청주시 흥덕구 옥산면 신촌리","2**","단독","8m미만","118.80","536.00","202504","03","12,500","개인","개인","1995","오송가락로","-","중개거래","충북 청주시 흥덕구"
"184","충청북도 청주시 흥덕구 봉명동","4**","단독","8m미만","150.48","221.20","202504","03","27,000","개인","개인","1986","1순환로501번길","-","중개거래","충북 청주시 흥덕구"
"185","충청북도 청주시 흥덕구 강내면 연정리","3*","단독","12m미만","177.10","484.00","202504","02","42,000","법인","개인","2014","부용남이길","-","직거래","-"
"186","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","452.04","243.10","202504","02","55,000","개인","개인","2001","진재로48번길","-","중개거래","충북 청주시 상당구"
"187","충청북도 청주시 흥덕구 봉명동","8**","다가구","12m미만","567.84","322.70","202504","01","96,000","개인","개인","2016","봉명로205번길","-","중개거래","충북 청주시 흥덕구"
"188","충청북도 청주시 흥덕구 가경동","1***","단독","12m미만","395.94","205.60","202503","31","39,000","개인","개인","1995","풍산로47번길","-","중개거래","충북 청주시 흥덕구"
"189","충청북도 청주시 흥덕구 정봉동","3*","단독","8m미만","76.99","122.00","202503","29","8,000","개인","개인","1970","청주역로358번길","-","중개거래","충북 청주시 흥덕구"
"190","충청북도 청주시 흥덕구 남촌동","3*","단독","8m미만","64.15","322.00","202503","28","19,000","개인","개인","2002","남촌로","-","직거래","-"
"191","충청북도 청주시 흥덕구 오송읍 공북리","2**","단독","8m미만","82.21","618.00","202503","28","25,000","개인","개인","1972","공북2길","-","직거래","-"
"192","충청북도 청주시 흥덕구 봉명동","9**","단독","8m미만","478.55","238.40","202503","26","30,000","개인","개인","1995","1순환로585번길","-","직거래","-"
"193","충청북도 청주시 흥덕구 가경동","1***","다가구","25m미만","399.57","217.90","202503","25","63,000","개인","개인","2013","서현서로29번길","-","중개거래","충북 청주시 서원구"
"194","충청북도 청주시 흥덕구 복대동","3***","다가구","12m미만","494.42","217.70","202503","24","69,000","개인","개인","2002","죽천로","-","중개거래","충북 청주시 흥덕구"
"195","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","318.24","180.00","202503","18","28,500","개인","개인","2003","풍년로85번길","-","중개거래","충북 청주시 상당구"
"196","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","167.99","282.80","202503","16","25,000","개인","개인","1985","천석로36번길","-","직거래","-"
"197","충청북도 청주시 흥덕구 봉명동","9**","다가구","12m미만","560.91","300.10","202503","15","114,000","개인","개인","2018","봉명로205번길","-","중개거래","충북 청주시 상당구"
"198","충청북도 청주시 흥덕구 봉명동","1***","단독","12m미만","272.93","175.60","202503","14","28,500","개인","개인","1994","봉정로62번길","-","중개거래","충북 청주시 흥덕구"
"199","충청북도 청주시 흥덕구 복대동","3***","다가구","12m미만","524.99","255.90","202503","13","50,000","개인","개인","2000","진재로16번길","-","중개거래","충북 청주시 상당구"
"200","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","478.58","203.90","202503","13","40,500","개인","개인","2001","진재로36번길","-","직거래","-"
"201","충청북도 청주시 흥덕구 봉명동","1***","다가구","25m미만","418.51","252.10","202503","12","76,000","개인","개인","2015","봉명로","-","중개거래","충북 청주시 흥덕구"
"202","충청북도 청주시 흥덕구 복대동","1**","다가구","12m미만","418.80","233.50","202503","11","33,500","개인","개인","2002","가로수로1346번길","-","직거래","-"
"203","충청북도 청주시 흥덕구 복대동","1**","다가구","12m미만","418.80","233.50","202503","11","33,500","개인","개인","2002","가로수로1346번길","20250512","중개거래","충북 청주시 서원구"
"204","충청북도 청주시 흥덕구 복대동","7**","다가구","8m미만","698.32","484.00","202503","10","250,000","개인","법인","2024","가로수로1362번길","-","중개거래","충북 청주시 흥덕구"
"205","충청북도 청주시 흥덕구 오송읍 봉산리","1***","단독","12m미만","518.85","270.10","202503","09","145,000","개인","개인","2022","오송생명8로","-","중개거래","충북 청주시 흥덕구"
"206","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","473.75","206.80","202503","05","64,000","개인","개인","2001","증안로22번길","-","중개거래","충북 청주시 청원구"
"207","충청북도 청주시 흥덕구 신전동","2**","단독","8m미만","99.94","660.00","202503","05","37,391","개인","개인","2018","현암로204번길","-","중개거래","충북 청주시 흥덕구"
"208","충청북도 청주시 흥덕구 가경동","6**","단독","8m미만","89.54","237.00","202503","01","33,265","법인","개인","2003","서현로52번길","-","직거래","-"
"209","충청북도 청주시 흥덕구 오송읍 봉산리","1***","단독","12m미만","481.04","241.00","202503","01","125,000","개인","법인","2024","봉산2길","-","중개거래","충북 청주시 흥덕구"
"210","충청북도 청주시 흥덕구 옥산면 가락리","7**","단독","8m미만","98.10","258.00","202502","28","13,000","개인","개인","1995","옥산시내4길","-","중개거래","충북 청주시 흥덕구"
"211","충청북도 청주시 흥덕구 복대동","1*","단독","8m미만","230.53","193.40","202502","27","22,500","개인","개인","1994","복대로199번길","-","중개거래","충북 청주시 흥덕구"
"212","충청북도 청주시 흥덕구 봉명동","2***","단독","12m미만","575.30","529.20","202502","27","160,276","공공기관","법인","2024","덕암로41번길","-","직거래","-"
"213","충청북도 청주시 흥덕구 송절동","6**","다가구","25m이상","501.73","265.00","202502","27","123,000","개인","개인","2018","송화로","-","중개거래","충북 청주시 흥덕구"
"214","충청북도 청주시 흥덕구 오송읍 정중리","1**","단독","8m미만","124.56","456.00","202502","27","34,500","개인","개인","1998","정중2길","-","중개거래","충북 청주시 흥덕구"
"215","충청북도 청주시 흥덕구 봉명동","2***","다가구","12m미만","561.76","374.90","202502","24","80,000","개인","개인","2008","덕암로71번길","-","중개거래","충북 청주시 서원구"
"216","충청북도 청주시 흥덕구 가경동","8**","다가구","12m미만","296.32","195.60","202502","23","27,000","개인","개인","1994","풍년로198번길","-","직거래","-"
"217","충청북도 청주시 흥덕구 복대동","1***","단독","8m미만","189.87","224.40","202502","22","25,000","개인","개인","1990","풍산로106번길","-","직거래","-"
"218","충청북도 청주시 흥덕구 봉명동","2***","단독","8m미만","430.80","243.80","202502","18","35,000","개인","개인","1993","과상미로93번길","-","중개거래","충북 청주시 흥덕구"
"219","충청북도 청주시 흥덕구 복대동","1***","다가구","8m미만","260.28","293.00","202502","14","24,000","개인","개인","1994","신율로146번길","-","직거래","-"
"220","충청북도 청주시 흥덕구 복대동","1***","다가구","8m미만","211.58","168.00","202502","13","28,000","개인","개인","1992","풍산로118번길","20250321","중개거래","충북 청주시 흥덕구"
"221","충청북도 청주시 흥덕구 봉명동","1***","다가구","8m미만","386.85","215.30","202502","09","56,500","개인","개인","2012","과상미로10번길","-","중개거래","충북 청주시 흥덕구"
"222","충청북도 청주시 흥덕구 오송읍 만수리","7**","다가구","12m미만","381.33","257.90","202502","08","66,250","개인","개인","2011","만수1길","-","중개거래","충북 청주시 흥덕구"
"223","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","229.81","181.40","202502","08","29,000","개인","개인","1993","봉정로62번길","-","중개거래","충북 청주시 흥덕구"
"224","충청북도 청주시 흥덕구 운천동","1***","단독","8m미만","198.33","216.20","202502","08","28,000","개인","개인","1987","흥덕로128번길","-","중개거래","충북 청주시 흥덕구"
"225","충청북도 청주시 흥덕구 봉명동","1***","단독","12m미만","78.68","208.80","202502","04","23,500","개인","개인","1996","봉정로65번길","-","중개거래","충북 청주시 상당구, 충북 청주시 흥덕구"
"226","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","294.89","215.40","202501","31","37,000","개인","개인","1988","주현로33번길","-","중개거래","충북 청주시 서원구"
"227","충청북도 청주시 흥덕구 가경동","2***","다가구","25m미만","357.83","213.70","202501","24","89,000","개인","개인","2009","서현중로32번길","-","중개거래","충북 청주시 흥덕구"
"228","충청북도 청주시 흥덕구 오송읍 만수리","7**","다가구","12m미만","421.14","283.30","202501","23","63,500","개인","개인","2009","만수길","-","중개거래","충북 청주시 흥덕구"
"229","충청북도 청주시 흥덕구 운천동","1***","단독","8m미만","163.32","195.50","202501","22","23,200","개인","개인","1988","직지대로751번길","-","중개거래","충북 청주시 서원구"
"230","충청북도 청주시 흥덕구 오송읍 봉산리","6**","단독","8m미만","94.86","330.00","202501","22","23,500","개인","개인","2005","정중연제로","-","중개거래","충북 청주시 흥덕구"
"231","충청북도 청주시 흥덕구 운천동","1***","단독","8m미만","33.21","116.00","202501","21","4,500","개인","개인","2012","무심서로745번길","-","직거래","-"
"232","충청북도 청주시 흥덕구 가경동","9**","다가구","12m미만","267.16","187.70","202501","11","33,000","개인","개인","1995","풍년로198번길","-","중개거래","충북 청주시 흥덕구"
"233","충청북도 청주시 흥덕구 운천동","1***","단독","12m미만","183.08","188.10","202501","09","26,800","개인","개인","1988","사운로206번길","-","중개거래","충북 청주시 청원구, 충북 청주시 흥덕구"
"234","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","256.16","210.30","202501","08","29,000","개인","개인","1992","봉정로65번길","-","중개거래","충북 청주시 흥덕구"
"235","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","170.14","218.10","202501","08","27,800","개인","개인","1985","천석로56번길","-","중개거래","충북 청주시 흥덕구"
"236","충청북도 청주시 흥덕구 복대동","*","단독","8m미만","112.60","125.00","202501","04","26,500","개인","개인","2011","대신로38번길","-","중개거래","충북 청주시 흥덕구"
"237","충청북도 청주시 흥덕구 석곡동","5*","단독","8m미만","49.80","108.00","202501","02","19,625","개인","개인","2022","서부로1124번길","-","직거래","-"
"238","충청북도 청주시 흥덕구 봉명동","8**","다가구","8m미만","463.80","251.40","202501","02","71,000","개인","개인","2014","봉명로205번길","-","중개거래","충북 청주시 흥덕구"
