"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"31","충청북도 청주시 흥덕구 복대동","2**","단독","8m미만","171.91","145.00","202509","15","17,100","개인","개인","1986","복대로219번길","-","중개거래","충북 청주시 흥덕구"
"32","충청북도 청주시 흥덕구 복대동","2**","단독","8m미만","298.34","317.00","202509","15","27,900","개인","개인","1986","복대로219번길","-","중개거래","충북 청주시 흥덕구"
"33","충청북도 청주시 흥덕구 오송읍 봉산리","9**","다가구","12m미만","477.55","271.10","202509","13","124,000","개인","개인","2021","봉산3길","-","중개거래","충북 청주시 흥덕구"
"34","충청북도 청주시 흥덕구 봉명동","2***","단독","8m미만","230.43","214.70","202509","09","25,800","개인","개인","1993","봉정로55번길","-","중개거래","충북 청주시 흥덕구"
"35","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","430.68","182.80","202509","06","53,000","개인","개인","2001","증안로34번길","-","직거래","-"
"36","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","146.68","140.80","202509","02","12,200","개인","개인","1985","천석로36번길","-","중개거래","충북 청주시 서원구"
"37","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","387.28","203.70","202509","02","80,000","개인","개인","2013","풍년로172번길","-","중개거래","충북 청주시 흥덕구"
"38","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","146.68","140.80","202509","02","12,700","개인","개인","1985","천석로36번길","20250902","중개거래","충북 청주시 서원구"
"39","충청북도 청주시 흥덕구 봉명동","8**","다가구","12m미만","574.85","330.00","202508","29","114,500","개인","개인","2015","봉명로205번길","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구"
"40","충청북도 청주시 흥덕구 복대동","2***","다가구","8m미만","266.46","210.80","202508","29","24,000","개인","개인","1992","풍산로128번길","-","중개거래","충북 청주시 흥덕구"
"41","충청북도 청주시 흥덕구 송절동","7**","다가구","12m미만","479.18","265.00","202508","23","114,000","개인","개인","2020","송화로166번길","-","중개거래","충북 청주시 서원구"
"42","충청북도 청주시 흥덕구 오송읍 봉산리","1***","다가구","12m미만","442.45","240.20","202508","23","120,000","법인","개인","2021","봉산1길","-","중개거래","충북 청주시 흥덕구"
"43","충청북도 청주시 흥덕구 봉명동","2**","단독","12m미만","213.53","254.60","202508","22","32,000","개인","개인","1987","월명로34번길","-","중개거래","충북 청주시 흥덕구"
"44","충청북도 청주시 흥덕구 오송읍 오송리","6*","단독","8m미만","198.69","258.00","202508","21","34,500","개인","개인","1995","오송4길","-","중개거래","충북 청주시 흥덕구"
"45","충청북도 청주시 흥덕구 봉명동","2**","단독","8m미만","120.48","167.00","202508","21","12,700","개인","개인","1981","1순환로634번길","-","중개거래","충북 청주시 흥덕구"
"46","충청북도 청주시 흥덕구 가경동","9**","다가구","12m미만","313.92","187.70","202508","20","35,700","개인","개인","1994","풍년로198번길","-","중개거래","충북 청주시 서원구"
"47","충청북도 청주시 흥덕구 가경동","6**","단독","8m미만","66.15","348.00","202508","20","47,900","법인","개인","1999","","-","직거래","-"
"48","충청북도 청주시 흥덕구 봉명동","2***","다가구","12m미만","567.11","383.50","202508","20","72,800","개인","개인","2009","덕암로59번길","-","중개거래","충북 청주시 상당구"
"49","충청북도 청주시 흥덕구 봉명동","2**","단독","12m미만","198.38","201.70","202508","19","31,500","개인","개인","1989","월명로32번길","-","중개거래","충북 청주시 서원구"
"50","충청북도 청주시 흥덕구 비하동","6**","단독","8m미만","162.36","149.00","202508","15","26,000","개인","개인","1990","청향로9번길","-","중개거래","충북 청주시 흥덕구"
"51","충청북도 청주시 흥덕구 복대동","9**","다가구","8m미만","445.20","263.00","202508","15","41,200","개인","개인","2001","가로수로1380번길","-","중개거래","충북 청주시 흥덕구"
"52","충청북도 청주시 흥덕구 복대동","9**","다가구","8m미만","445.20","263.00","202508","15","41,200","개인","개인","2001","가로수로1380번길","20251021","중개거래","충북 청주시 흥덕구"
"53","충청북도 청주시 흥덕구 복대동","8**","단독","8m미만","654.67","297.20","202508","14","155,000","법인","개인","2016","월명로5번길","-","중개거래","충북 청주시 서원구"
"54","충청북도 청주시 흥덕구 복대동","8**","단독","8m미만","489.28","168.80","202508","14","69,000","법인","개인","1990","월명로5번길","-","중개거래","충북 청주시 서원구"
"55","충청북도 청주시 흥덕구 가경동","6**","단독","8m미만","65.60","354.00","202508","12","48,000","법인","개인","1999","서부로1205번길","-","직거래","-"
"56","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","356.35","234.10","202508","11","59,000","개인","개인","2010","서현서로21번길","-","중개거래","충북 청주시 흥덕구"
"57","충청북도 청주시 흥덕구 복대동","5*","다가구","8m미만","399.98","245.60","202508","10","108,750","개인","개인","2019","가로수로1312번길","-","중개거래","충북 청주시 흥덕구"
"58","충청북도 청주시 흥덕구 오송읍 봉산리","1***","단독","12m미만","478.76","241.00","202508","10","134,000","개인","법인","2024","봉산2길","-","중개거래","충북 청주시 흥덕구"
"59","충청북도 청주시 흥덕구 오송읍 오송리","1**","단독","12m미만","101.62","331.00","202508","09","53,700","법인","개인","1975","오송4길","20251021","중개거래","충북 청주시 흥덕구"
"60","충청북도 청주시 흥덕구 복대동","3*","단독","8m미만","219.18","208.10","202508","09","29,000","개인","개인","1990","복대로200번길","-","중개거래","충북 청주시 서원구"
"61","충청북도 청주시 흥덕구 봉명동","1***","단독","12m미만","177.59","164.20","202508","06","20,200","기타","개인","1988","천수로","-","중개거래","충북 청주시 서원구"
