"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"27","충청북도 청주시 흥덕구 오송읍 연제리","736","0736","0000","오송호반베르디움","84.8873","202511","02","41,500","-","16","개인","개인","2010","오송생명3로 111","-","중개거래","충북 청주시 흥덕구","-"
"28","충청북도 청주시 흥덕구 옥산면 오산리","590-1","0590","0001","아트빌","59.9400","202511","02","8,550","-","12","개인","개인","1998","오송가락로 718","-","중개거래","충북 청주시 흥덕구","-"
"29","충청북도 청주시 흥덕구 옥산면 오산리","590-1","0590","0001","아트빌","59.9400","202511","02","7,500","-","7","개인","개인","1998","오송가락로 718","-","중개거래","충북 청주시 흥덕구","-"
"30","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.7397","202511","02","37,500","-","5","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","-"
"31","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.7397","202511","02","38,500","-","9","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","-"
"32","충청북도 청주시 흥덕구 가경동","2258","2258","0000","가경자이","84.8390","202511","02","61,500","-","12","개인","개인","2020","서현로 30","-","중개거래","충북 청주시 흥덕구","-"
"33","충청북도 청주시 흥덕구 가경동","2236","2236","0000","청주가경아이파크2단지","84.9500","202511","02","59,800","-","21","개인","개인","2020","서현로 68","-","중개거래","충북 청주시 흥덕구","-"
"34","충청북도 청주시 흥덕구 가경동","1579","1579","0000","가경주공8단지","84.9400","202511","02","28,000","-","12","개인","개인","2005","풍년로 56","-","중개거래","충북 청주시 흥덕구","-"
"35","충청북도 청주시 흥덕구 복대동","3379","3379","0000","신영지웰시티1차","152.6520","202511","01","118,000","-","35","개인","개인","2010","대농로 17","-","중개거래","충북 청주시 흥덕구","-"
"36","충청북도 청주시 흥덕구 봉명동","2758","2758","0000","두진하트리움","84.8100","202511","01","22,700","-","12","개인","개인","2003","덕암로30번길 19","-","중개거래","충북 청주시 흥덕구","-"
"37","충청북도 청주시 흥덕구 가경동","2258","2258","0000","가경자이","75.7676","202511","01","57,000","-","21","개인","개인","2020","서현로 30","-","중개거래","충북 청주시 흥덕구","-"
"38","충청북도 청주시 흥덕구 신봉동","177","0177","0000","우림필유","106.6893","202511","01","31,000","-","5","개인","개인","2007","사운로359번길 13","-","중개거래","충북 청주시 흥덕구","-"
"39","충청북도 청주시 흥덕구 옥산면 가락리","981","0981","0000","청주리버파크자이","84.9330","202511","01","34,200","-","20","개인","개인","2019","오송가락로 1056","-","중개거래","충북 청주시 흥덕구","-"
"40","충청북도 청주시 흥덕구 옥산면 가락리","953","0953","0000","흥덕코오롱하늘채아파트","59.9318","202511","01","19,000","-","7","개인","개인","2016","가락길 60","-","중개거래","충북 청주시 흥덕구","-"
"41","충청북도 청주시 흥덕구 송절동","846","0846","0000","청주테크노폴리스우방아이유쉘2단지","84.9725","202511","01","45,900","-","12","개인","개인","2018","송화로108번길 111","-","중개거래","충북 청주시 흥덕구","-"
"42","충청북도 청주시 흥덕구 복대동","221-12","0221","0012","주은","59.6443","202511","01","15,900","-","14","개인","개인","2002","죽천로143번길 19","-","중개거래","충북 청주시 흥덕구","-"
"43","충청북도 청주시 흥덕구 옥산면 오산리","590-1","0590","0001","아트빌","59.9400","202511","01","8,400","-","15","개인","법인","1998","오송가락로 718","-","중개거래","충북 청주시 흥덕구","-"
"44","충청북도 청주시 흥덕구 비하동","824","0824","0000","서청주파크자이","84.9637","202511","01","50,500","-","25","개인","개인","2019","2순환로 1106","-","중개거래","충북 청주시 흥덕구","-"
"45","충청북도 청주시 흥덕구 비하동","824","0824","0000","서청주파크자이","84.9637","202511","01","50,800","-","24","개인","개인","2019","2순환로 1106","-","중개거래","충북 청주시 흥덕구","-"
"46","충청북도 청주시 흥덕구 복대동","3379","3379","0000","신영지웰시티1차","99.1260","202511","01","76,000","-","35","개인","개인","2010","대농로 17","-","중개거래","충북 청주시 흥덕구","-"
"47","충청북도 청주시 흥덕구 복대동","2456","2456","0000","아름다운나날영조1","59.3291","202511","01","20,000","-","4","개인","개인","2003","증안로 21","-","중개거래","충북 청주시 흥덕구","-"
"48","충청북도 청주시 흥덕구 가경동","2258","2258","0000","가경자이","84.8390","202511","01","59,000","-","1","개인","개인","2020","서현로 30","-","중개거래","충북 청주시 흥덕구","-"
"49","충청북도 청주시 흥덕구 강서동","472","0472","0000","우양센트럴","22.4640","202511","01","5,500","-","20","개인","개인","2016","가로수로1164번길 41-44","-","직거래","-","-"
"50","충청북도 청주시 흥덕구 가경동","2220","2220","0000","청주가경IPARK1차","72.5300","202511","01","51,500","-","5","개인","개인","2019","서현로 66","-","중개거래","충북 청주시 흥덕구","-"
"51","충청북도 청주시 흥덕구 가경동","1516","1516","0000","태암수정","84.8950","202511","01","20,200","-","11","개인","개인","1997","가경로 72","-","중개거래","충북 청주시 흥덕구","-"
