□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(매매),,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
29,충청북도 청주시 상당구 남일면 고은리,4**,단독,8m미만,183.72,776,202509,9,"59,590",개인,개인,2016,고은두산로,-,직거래,-
30,충청북도 청주시 상당구 탑동,1**,단독,25m이상,36.37,115.7,202509,6,"17,000",개인,개인,1971,산성로,-,직거래,-
31,충청북도 청주시 상당구 문의면 두모리,6**,단독,8m미만,101.06,248,202509,4,"4,200",개인,개인,1927,두모길,-,중개거래,충북 청주시 상당구
32,충청북도 청주시 상당구 문의면 남계리,3**,단독,8m미만,99,349,202509,3,"18,000",개인,개인,1966,남계1길,-,직거래,-
33,충청북도 청주시 상당구 금천동,5*,다가구,8m미만,189,158,202508,30,"19,000",개인,개인,1997,중고개로273번길,-,중개거래,충북 청주시 상당구
34,충청북도 청주시 상당구 미원면 운암리,3**,단독,12m미만,180.68,1189,202508,29,"31,000",개인,개인,2016,운암계원로,-,중개거래,충북 청주시 상당구
35,충청북도 청주시 상당구 용암동,1***,단독,25m미만,320.65,194.4,202508,29,"44,500",개인,개인,1997,용암로,-,중개거래,충북 청주시 상당구
36,충청북도 청주시 상당구 남일면 두산리,3**,단독,8m미만,97.13,397,202508,27,"14,500",개인,개인,1975,노동두산길,-,직거래,-
37,충청북도 청주시 상당구 용암동,1***,단독,12m미만,394.44,233.2,202508,27,"30,500",개인,개인,2000,중흥로11번길,20250918,중개거래,충북 청주시 상당구
38,충청북도 청주시 상당구 수동,4*,단독,8m미만,42.98,147.8,202508,25,"5,200",개인,개인,1968,교동로,-,직거래,-
39,충청북도 청주시 상당구 영운동,5*,단독,12m미만,321.18,214,202508,24,"28,000",개인,개인,1994,영운천로83번길,-,중개거래,충북 청주시 상당구
40,충청북도 청주시 상당구 탑동,1*,단독,12m미만,89.67,161.4,202508,21,"17,000",개인,개인,2008,탑동로61번길,-,중개거래,충북 청주시 상당구
41,충청북도 청주시 상당구 남주동,2**,단독,12m미만,209.94,89.1,202508,21,"11,000",개인,개인,1987,무심동로304번길,-,직거래,-
42,충청북도 청주시 상당구 금천동,1**,단독,25m미만,26.11,33,202508,20,"4,800",개인,개인,1975,영운로,-,중개거래,충북 청주시 청원구
43,충청북도 청주시 상당구 금천동,1**,단독,8m미만,50.25,169,202508,18,"10,000",개인,개인,1968,쇠내로,-,직거래,-
44,충청북도 청주시 상당구 문화동,1*,다가구,25m미만,609.73,246.8,202508,14,"165,000",개인,개인,2019,대성로,-,중개거래,충북 청주시 흥덕구
45,충청북도 청주시 상당구 용정동,7**,다가구,12m미만,520.56,234.8,202508,13,"40,700",개인,개인,2002,중고개로224번길,-,중개거래,충북 청주시 상당구
46,충청북도 청주시 상당구 용암동,1***,단독,12m미만,305.08,200.1,202508,12,"30,000",개인,개인,1997,월평로214번길,-,중개거래,충북 청주시 상당구
47,충청북도 청주시 상당구 용정동,8**,다가구,12m미만,377.56,238.4,202508,12,"48,000",개인,개인,2003,영운천로179번길,-,중개거래,충북 청주시 상당구
48,충청북도 청주시 상당구 용암동,2***,다가구,12m미만,392.28,227.8,202508,11,"34,000",개인,개인,2004,용암북로180번길,-,중개거래,충북 청주시 상당구
49,충청북도 청주시 상당구 용암동,6**,단독,12m미만,149.85,178,202508,10,"36,000",개인,개인,2016,용암로95번길,-,중개거래,충북 청주시 상당구
50,충청북도 청주시 상당구 영운동,1**,다가구,8m미만,132.94,126,202508,7,"20,000",개인,개인,1997,수영로101번길,-,직거래,-
51,충청북도 청주시 상당구 용암동,2***,단독,25m미만,840.02,290.7,202508,5,"76,500",개인,개인,2003,원봉로,-,중개거래,충북 청주시 상당구
