□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(전월세),,,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 서원구,,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
24,충청북도 청주시 서원구 수곡동,3-71,71,3,수곡연립,월세,45.58,202507,7,200,35,4,1982,수영로8번길 17,202507~202607,신규,-,,,연립다세대
25,충청북도 청주시 서원구 사창동,240-20,240,20,현대코아루,월세,57.58,202507,7,850,80,2,2015,봉명로 234,202507~202707,신규,-,,,연립다세대
26,충청북도 청주시 서원구 사창동,323-1,323,1,에스텔HOUSE,월세,66.785,202506,24,"1,500",70,4,2015,창신로22번길 65-10,202507~202707,신규,-,,,연립다세대
27,충청북도 청주시 서원구 사창동,187-7,187,7,동남6차,월세,59.72,202506,24,"1,000",65,2,1993,천수로40번가길 13,202507~202707,신규,-,,,연립다세대
28,충청북도 청주시 서원구 수곡동,4-32,32,4,충청,월세,57.6,202506,16,300,60,1,1984,청남로2036번길 107,202507~202607,신규,-,,,연립다세대
29,충청북도 청주시 서원구 분평동,247,247,0,남들,월세,70.1,202506,16,500,35,1,1981,안뜸로 63-9,202506~202706,신규,-,,,연립다세대
30,충청북도 청주시 서원구 산남동,9-51,51,9,"에코빌2차(3,4동)",전세,73.255,202506,10,"8,000",0,4,2015,원흥로 11-19,202507~202707,신규,-,,,연립다세대
31,충청북도 청주시 서원구 모충동,257-7,257,7,태양빌A동,월세,70.95,202506,6,"9,500",40,2,2015,서원서로 2,202506~202706,신규,-,,,연립다세대
32,충청북도 청주시 서원구 죽림동,138-2,138,2,샤르망빌,월세,72.65,202505,17,"2,000",70,3,2015,대림로421번길 95-1,202505~202705,신규,-,,,연립다세대
33,충청북도 청주시 서원구 남이면 척산리,587-5,587,5,황금빌라,월세,71.33,202504,8,"2,000",50,1,2017,청남로 1233-6,202504~202604,신규,-,,,연립다세대
34,충청북도 청주시 서원구 성화동,225-13,225,13,성화베리굿,월세,69.639,202503,31,"2,000",50,1,2014,2순환로1502번길 21,202504~202704,신규,-,,,연립다세대
35,충청북도 청주시 서원구 죽림동,137-1,137,1,그린하우스,월세,50.79,202503,18,"3,000",20,3,2013,대림로421번길 99,202503~202703,신규,-,,,연립다세대
36,충청북도 청주시 서원구 성화동,225-13,225,13,성화베리굿,전세,69.639,202503,17,"1,300",0,4,2014,2순환로1502번길 21,202503~202703,신규,-,,,연립다세대
37,충청북도 청주시 서원구 개신동,443-6,443,6,서우,월세,59.1,202503,8,500,35,1,1987,모충로 44-2,202503~202703,신규,-,,,연립다세대
38,충청북도 청주시 서원구 남이면 가마리,30-20,30,20,힐데스빌2단지,월세,84.0438,202503,5,"5,000",20,3,2016,청남로 1809-8,202503~202603,신규,-,,,연립다세대
39,충청북도 청주시 서원구 사창동,191-1,191,1,(191-1),월세,77.12,202503,5,"1,000",50,2,1980,천수로18번길 2,202503~202703,신규,-,,,연립다세대
40,충청북도 청주시 서원구 사창동,364-23,364,23,(364-23),전세,30.25,202502,3,"6,000",0,3,2013,창직로 17-6,202502~202702,신규,-,,,연립다세대
41,충청북도 청주시 서원구 수곡동,171-13,171,13,명보,월세,65.46,202501,25,"1,000",40,1,1986,구룡산로330번길 5,202502~202702,신규,-,,,연립다세대
42,충청북도 청주시 서원구 사창동,240-20,240,20,현대코아루,전세,82.96,202501,15,"6,000",0,3,2015,봉명로 234,202502~202702,신규,-,,,연립다세대
43,충청북도 청주시 서원구 사창동,151-5,151,5,라임빌,월세,21.52,202501,12,500,30,2,2012,충대로14번길 77,202502~202602,신규,-,,,연립다세대
44,충청북도 청주시 서원구 모충동,257-3,257,3,태양빌B동,월세,70.95,202501,4,"12,000",35,2,2015,서원서로 2-1,202501~202701,신규,-,,,연립다세대
45,충청북도 청주시 서원구 남이면 가마리,30-20,30,20,힐데스빌2단지,월세,82.3611,202501,3,"2,000",70,4,2016,청남로 1809-8,202502~202602,신규,-,,,연립다세대
46,충청북도 청주시 서원구 산남동,9-51,51,9,"에코빌2차(3,4동)",전세,73.255,202501,3,"10,000",0,1,2015,원흥로 11-19,202501~202701,신규,-,,,연립다세대
47,충청북도 청주시 서원구 수곡동,03월 24일,24,3,수곡,전세,61.72,202412,26,"5,500",0,1,1979,수영로 51,202502~202702,신규,-,,,연립다세대
48,충청북도 청주시 서원구 산남동,324-1,324,1,인덱스타운,월세,56.32,202412,14,"3,000",70,4,2012,1순환로 852,202501~202601,신규,-,,,연립다세대
49,충청북도 청주시 서원구 산남동,9-51,51,9,"에코빌2차(3,4동)",전세,73.255,202412,14,"11,200",0,-1,2015,원흥로 11-19,202501~202701,신규,-,,,연립다세대
50,충청북도 청주시 서원구 죽림동,136-3,136,3,그린하우스,월세,59.03,202412,6,"1,000",70,1,2013,대림로421번길 95-14,202412~202608,신규,-,,,연립다세대
51,충청북도 청주시 서원구 남이면 척산리,587-5,587,5,황금빌라,전세,68.77,202412,5,"8,000",0,2,2017,청남로 1233-6,202412~202612,신규,-,,,연립다세대
52,충청북도 청주시 서원구 남이면 척산리,587-5,587,5,황금빌라,전세,68.77,202412,5,"11,000",0,4,2017,청남로 1233-6,202412~202612,신규,-,,,연립다세대
53,충청북도 청주시 서원구 산남동,9-51,51,9,"에코빌2차(3,4동)",전세,73.255,202412,3,"10,000",0,1,2015,원흥로 11-19,202501~202701,신규,-,,,연립다세대
