□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(매매),,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,
시군구 : 청주시 청원구,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
27,충청북도 청주시 청원구 주중동,1***,다가구,12m미만,402.99,237.8,202508,24,"78,500",개인,개인,2018,율량로48번길,-,중개거래,충북 청주시 청원구
28,충청북도 청주시 청원구 우암동,4**,단독,8m미만,165.63,132.2,202508,23,"12,000",법인,개인,1993,교서로180번길,-,중개거래,"충북 청주시 서원구, 충북 청주시 흥덕구"
29,충청북도 청주시 청원구 우암동,3**,단독,12m미만,118.79,129.6,202508,22,"19,400",개인,개인,1972,향군로74번길,-,직거래,-
30,충청북도 청주시 청원구 내덕동,3**,단독,8m미만,74.72,155.4,202508,20,"16,000",개인,개인,1975,새터로37번길,-,중개거래,충북 청주시 흥덕구
31,충청북도 청주시 청원구 내덕동,6**,단독,8m미만,57.92,100.8,202508,18,"7,500",개인,개인,1975,1순환로339번길,-,중개거래,충북 청주시 청원구
32,충청북도 청주시 청원구 우암동,3**,단독,8m미만,141.93,154.6,202508,13,"20,300",개인,개인,1980,우암로43번길,-,중개거래,충북 청주시 청원구
33,충청북도 청주시 청원구 우암동,3**,단독,8m미만,141.93,154.6,202508,13,"20,300",개인,개인,1980,우암로43번길,20250829,중개거래,충북 청주시 청원구
34,충청북도 청주시 청원구 오창읍 화산리(花山),1**,단독,8m미만,70.73,730,202508,11,"7,000",개인,개인,,꽃화산2길,-,직거래,-
35,충청북도 청주시 청원구 내덕동,1**,단독,8m미만,46.05,126,202508,8,"6,500",개인,개인,1968,안덕벌로39번길,-,직거래,-
36,충청북도 청주시 청원구 우암동,3**,단독,25m미만,52.49,148.1,202508,7,"10,500",개인,개인,1971,우암로24번길,-,중개거래,충북 청주시 청원구
37,충청북도 청주시 청원구 우암동,4**,단독,8m미만,114.93,153.4,202508,4,"17,280",개인,개인,1985,교서로186번길,-,중개거래,충북 청주시 흥덕구
38,충청북도 청주시 청원구 오창읍 양청리,7**,다가구,12m미만,405.69,339.9,202508,1,"67,500",개인,개인,2009,양청택지1길,-,중개거래,충북 청주시 청원구
39,충청북도 청주시 청원구 우암동,3**,단독,25m미만,97.25,189.4,202508,1,"22,500",개인,개인,2001,우암로,-,중개거래,충북 청주시 청원구
40,충청북도 청주시 청원구 우암동,1**,단독,8m미만,270.71,202,202508,1,"19,000",개인,개인,1995,수동로58번길,-,중개거래,충북 청주시 흥덕구
41,충청북도 청주시 청원구 내덕동,5**,단독,8m미만,163.33,177,202507,31,"37,000",개인,개인,1986,율천남로,-,직거래,-
42,충청북도 청주시 청원구 내덕동,5**,단독,8m미만,386.74,725,202507,31,"77,000",개인,개인,2017,율천남로,-,직거래,-
43,충청북도 청주시 청원구 오창읍 양청리,7**,다가구,25m미만,413.94,345,202507,30,"44,500",개인,개인,2008,양청길,-,중개거래,충북 청주시 청원구
44,충청북도 청주시 청원구 오창읍 성재리,3**,단독,8m미만,52.2,208,202507,29,"3,500",개인,개인,1978,성재2길,-,직거래,-
45,충청북도 청주시 청원구 내덕동,7**,단독,8m미만,125.63,134,202507,29,"9,000",개인,개인,1985,새터로142번길,-,직거래,-
46,충청북도 청주시 청원구 우암동,3**,다가구,12m미만,304.33,131.7,202507,26,"49,000",개인,개인,2014,내덕로18번길,-,중개거래,충북 청주시 서원구
47,충청북도 청주시 청원구 오창읍 양청리,6**,다가구,25m이상,272.15,228.2,202507,25,"67,500",개인,개인,2012,양청4길,-,중개거래,충북 청주시 상당구
48,충청북도 청주시 청원구 우암동,3**,단독,25m이상,117.96,294.5,202507,25,"47,170",법인,개인,,교서로134번길,-,직거래,-
49,충청북도 청주시 청원구 외남동,2**,단독,8m미만,62.45,409,202507,24,"14,500",법인,개인,1970,토성로438번길,-,중개거래,충북 청주시 청원구
50,충청북도 청주시 청원구 오창읍 양청리,7**,다가구,12m미만,370.57,309.6,202507,19,"60,500",개인,개인,2008,양청택지1길,-,중개거래,충북 청주시 청원구
51,충청북도 청주시 청원구 주중동,1***,다가구,12m미만,497.82,289,202507,18,"87,000",개인,개인,2015,주성로233번길,-,중개거래,"충북 청주시 청원구, 충북 청주시 흥덕구"
52,충청북도 청주시 청원구 오창읍 양청리,7**,다가구,12m미만,487.49,365.8,202507,17,"99,000",법인,개인,2014,양청길,-,중개거래,충북 청주시 청원구
53,충청북도 청주시 청원구 내수읍 우산리,3**,단독,8m미만,99.69,515,202507,15,"16,000",개인,개인,2004,우산2길,-,중개거래,충북 청주시 흥덕구
54,충청북도 청주시 청원구 내덕동,6**,단독,12m미만,196.92,265.2,202507,12,"32,200",개인,개인,1981,교서로222번길,-,중개거래,충북 청주시 청원구
55,충청북도 청주시 청원구 내덕동,5**,단독,8m미만,386.74,725,202507,10,"67,000",개인,개인,2017,율천남로,20250731,직거래,-
56,충청북도 청주시 청원구 내수읍 초정리,4*,단독,8m미만,142.48,576,202507,10,"40,000",개인,법인,2022,초정2길,-,직거래,-
57,충청북도 청주시 청원구 내덕동,5**,단독,8m미만,163.33,177,202507,10,"37,000",개인,개인,1986,율천남로,20250731,직거래,-
58,충청북도 청주시 청원구 우암동,3**,다가구,8m미만,277.92,178.5,202507,8,"30,000",개인,개인,1999,교서로168번길,20250728,직거래,-
59,충청북도 청주시 청원구 우암동,1**,단독,12m미만,63.9,128,202507,8,"10,300",개인,개인,1977,대성로,-,직거래,-
60,충청북도 청주시 청원구 내덕동,1**,다가구,8m미만,189.69,165,202507,7,"16,700",개인,개인,1994,안덕벌로19번길,-,중개거래,충북 청주시 청원구
61,충청북도 청주시 청원구 오창읍 양청리,7**,다가구,12m미만,519.06,323,202507,4,"70,000",개인,개인,2006,양청2안길,-,중개거래,충북 청주시 청원구
62,충청북도 청주시 청원구 오창읍 양청리,7**,다가구,25m미만,613.8,345.8,202506,30,"97,000",개인,개인,2013,양청택지3길,-,중개거래,충북 청주시 청원구
63,충청북도 청주시 청원구 북이면 장재리,3*,단독,8m미만,84.24,439,202506,30,"10,400",개인,개인,2006,장재1길,-,중개거래,충북 증평군
64,충청북도 청주시 청원구 내덕동,6*,단독,8m미만,214.72,159,202506,28,"16,500",개인,개인,2002,안덕벌로52번길,-,중개거래,충북 청주시 청원구
65,충청북도 청주시 청원구 북이면 석화리,8*,단독,8m미만,172.42,992,202506,26,"39,000",개인,개인,2000,청암로,-,중개거래,충북 증평군
66,충청북도 청주시 청원구 내수읍 입상리,2**,단독,8m미만,65.78,344,202506,25,"6,500",개인,개인,1979,입상1길,-,직거래,-
67,충청북도 청주시 청원구 내수읍 마산리,1**,단독,8m미만,134.28,269,202506,25,"33,600",개인,개인,1994,마산3길,-,중개거래,충북 청주시 청원구
68,충청북도 청주시 청원구 오창읍 양청리,7**,다가구,12m미만,403.76,338.9,202506,23,"63,000",개인,개인,2012,양청길,-,중개거래,충북 청주시 청원구
69,충청북도 청주시 청원구 우암동,2**,단독,8m미만,129.36,144,202506,21,"16,500",개인,개인,1983,향군로93번길,20250806,중개거래,충북 청주시 서원구
70,충청북도 청주시 청원구 우암동,2**,단독,8m미만,129.36,144,202506,21,"16,500",개인,개인,1983,향군로93번길,-,중개거래,충북 청주시 서원구
71,충청북도 청주시 청원구 율량동,1***,단독,25m미만,743.64,378,202506,18,"75,000",개인,개인,2000,율봉로,-,중개거래,충북 청주시 흥덕구
72,충청북도 청주시 청원구 율량동,2***,다가구,12m미만,480.88,266.2,202506,17,"96,700",개인,개인,2019,율중로,-,중개거래,충북 청주시 청원구
73,충청북도 청주시 청원구 우암동,4**,단독,8m미만,137.81,231.4,202506,15,"25,000",개인,개인,1983,교서로186번길,-,중개거래,충북 청주시 서원구
74,충청북도 청주시 청원구 내덕동,3**,다가구,8m미만,605.96,308,202506,14,"48,000",개인,개인,2002,내덕로61번길,-,중개거래,충북 청주시 서원구
75,충청북도 청주시 청원구 북이면 신기리,2**,단독,8m미만,60.52,913,202506,14,"13,800",개인,개인,1970,신기길,20250804,중개거래,충북 청주시 청원구
76,충청북도 청주시 청원구 우암동,3**,다가구,12m미만,304.33,131.7,202506,14,"49,000",개인,개인,2014,내덕로18번길,20250718,중개거래,충북 청주시 서원구
77,충청북도 청주시 청원구 우암동,3**,단독,8m미만,62,132.2,202506,13,"12,000",개인,개인,1973,우암로63번길,-,직거래,-
78,충청북도 청주시 청원구 우암동,3**,단독,8m미만,62,132.2,202506,13,"5,000",개인,개인,1970,우암로63번길,20250613,직거래,-
79,충청북도 청주시 청원구 우암동,4**,단독,8m미만,144.09,158.3,202506,12,"16,800",개인,개인,1985,우암로,-,중개거래,충북 청주시 서원구
80,충청북도 청주시 청원구 율량동,8*,단독,8m미만,146.34,272,202506,11,"47,000",개인,개인,2015,상리로17번길,-,중개거래,충북 청주시 청원구
81,충청북도 청주시 청원구 우암동,2**,다가구,12m미만,221.85,143,202506,11,"22,500",개인,개인,2001,대성로268번길,-,중개거래,충북 청주시 서원구
82,충청북도 청주시 청원구 내덕동,2**,다가구,8m미만,414.78,274.2,202506,10,"67,000",개인,개인,2012,우암로64번길,-,중개거래,충북 청주시 상당구
83,충청북도 청주시 청원구 내수읍 묵방리,2*,단독,8m미만,99.63,660,202506,9,"30,000",개인,개인,2014,묵방2길,-,중개거래,충북 청주시 흥덕구
84,충청북도 청주시 청원구 우암동,4**,단독,12m미만,124.86,188.3,202506,7,"20,000",개인,개인,1981,우암로9번길,-,중개거래,충북 청주시 청원구
85,충청북도 청주시 청원구 내수읍 저곡리,1**,단독,8m미만,127.62,630,202506,5,"13,700",개인,개인,1997,세교초정로,20250611,중개거래,충북 음성군
86,충청북도 청주시 청원구 내수읍 저곡리,1**,단독,8m미만,127.62,630,202506,5,"13,700",개인,개인,1997,세교초정로,-,중개거래,"충북 음성군, 충북 청주시 청원구"
87,충청북도 청주시 청원구 우암동,3**,다가구,12m미만,116.42,119.3,202506,4,"18,000",개인,개인,2004,새터로23번길,-,중개거래,충북 청주시 청원구
88,충청북도 청주시 청원구 오창읍 구룡리,3**,단독,12m미만,99.67,560.4,202506,3,"36,500",개인,개인,2015,구룡길,-,중개거래,충북 청주시 청원구
89,충청북도 청주시 청원구 내수읍 세교리,3**,단독,8m미만,318.36,970,202506,2,"30,000",개인,개인,2004,세교2길,-,직거래,-
90,충청북도 청주시 청원구 우암동,7**,단독,25m이상,224.62,120,202506,2,"32,300",개인,개인,1993,무심동로,-,중개거래,충북 청주시 청원구
91,충청북도 청주시 청원구 오창읍 양청리,7**,다가구,25m미만,656.89,571.5,202505,30,"100,000",개인,개인,2013,양청택지로,-,중개거래,충북 청주시 청원구
