시군구명,법정동,등록번호,중개업소 구분,중개업자명,중개업소명,도로명주소(지번)
충청북도 청주시흥덕구,오송읍,43113-2022-00098,공인중개사,김선오,애플공인중개사합동사무소,충청북도 청주시 흥덕구 오송읍 만수1길 40-13 101호
충청북도 청주시흥덕구,오송읍,43113-2022-00099,공인중개사,정지현,애플공인중개사사무소,충청북도 청주시 흥덕구 오송읍 만수1길 40-13 101호
충청북도 청주시흥덕구,오송읍,43113-2022-00101,공인중개사,장진미,황금터공인중개사사무소,충청북도 청주시 흥덕구 오송읍 연제길 101-1 
충청북도 청주시흥덕구,강내면,43113-2022-00103,공인중개사,김은희,더뉴사랑채공인중개사사무소,"충청북도 청주시 흥덕구 강내면 가로수로 640-47 , 흥덕 칸타빌 더뉴 근린생활시설 103호"
충청북도 청주시흥덕구,봉명동,43113-2022-00104,공인중개사,장인창,성심부동산공인중개사사무소,충청북도 청주시 흥덕구 과상미로101번길 21 101호
충청북도 청주시흥덕구,봉명동,43113-2022-00105,공인중개사,변정희,호박공인중개사사무소,충청북도 청주시 흥덕구 1순환로594번길 42-2 102호
충청북도 청주시흥덕구,오송읍,43113-2022-00108,공인중개사,이유진,부자마을합동공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명14로 283 오송2차대광로제비앙 그랜드센텀 근린생활시설 1-B107호
충청북도 청주시흥덕구,송절동,43113-2022-00109,공인중개사,연수현,대소부동산공인중개사사무소,충청북도 청주시 흥덕구 송화로130번길 4 103호
충청북도 청주시흥덕구,강서동,43113-2022-00110,공인중개사,심은지,별빛공인중개사사무소,충청북도 청주시 흥덕구 가로수로1164번길 41-33 110호
충청북도 청주시흥덕구,복대동,43113-2022-00113,공인중개사,이수용,도울부동산공인중개사사무소,충청북도 청주시 흥덕구 죽천로 135 103호 (복대동)
충청북도 청주시흥덕구,가경동,43113-2022-00114,공인중개사,김참이,씨티아이파크공인중개사사무소,충청북도 청주시 흥덕구 서현로 66 청주가경아이파크 상가100동 B105호
충청북도 청주시흥덕구,오송읍,43113-2022-00115,공인중개사,김영옥,오송스피드공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명7로 151 오송역 파라곤 센트럴시티 227동 A-B 109호
충청북도 청주시흥덕구,오송읍,43113-2022-00116,공인중개사,장해헌,온세공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명8로 178 3-104호
충청북도 청주시흥덕구,복대동,43113-2023-00001,공인중개사,한준구,지웰부자공인중개사사무소,충청북도 청주시 흥덕구 대농로 55 상가동 108호
충청북도 청주시흥덕구,옥산면,43113-2023-00005,공인중개사,배영옥,옥산제일부동산중개사무소,충청북도 청주시 흥덕구 옥산면 옥산시내1길 30 
충청북도 청주시흥덕구,봉명동,43113-2023-00006,공인중개사,배서빈,리우공인중개사사무소,충청북도 청주시 흥덕구 월명로236번길 75 101호
충청북도 청주시흥덕구,가경동,43113-2023-00008,공인중개사,김채원,공감공인중개사사무소,충청북도 청주시 흥덕구 서현북로 38 102호 (가경동)
