"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"118","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","33.4500","202504","09","12,800","9","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"119","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6300","202504","08","6,400","10","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"120","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","50.1300","202504","08","15,000","2","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"121","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","33.4500","202504","08","12,000","13","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"122","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202504","06","4,950","12","개인","법인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"123","충청북도 청주시 흥덕구 복대동","3404","3404","0000","청주 지웰시티 푸르지오","84.9170","202504","02","41,000","5","개인","개인","2019"," ","-","중개거래","서울 영등포구"
"124","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.4800","202504","01","5,880","2","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"125","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","25.1100","202504","01","6,400","7","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"126","충청북도 청주시 흥덕구 비하동","796","0796","0000","현대오피스텔","37.8900","202503","29","4,500","4","개인","개인","2003","비하로12번길 14","-","직거래","-"
"127","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202503","27","5,050","11","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"128","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202503","26","7,300","20","법인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"129","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202503","24","6,300","8","개인","개인","2017","2순환로 1222","-","중개거래","경기 부천시 오정구, 충북 청주시 흥덕구"
"130","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","28.9000","202503","24","8,200","11","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"131","충청북도 청주시 흥덕구 비하동","784","0784","0000","(784)","36.0000","202503","24","3,950","6","개인","개인","2008","비하로18번길 10","-","중개거래","충북 청주시 흥덕구"
"132","충청북도 청주시 흥덕구 오송읍 만수리","857","0857","0000","골드리치오피스텔","32.7650","202503","22","5,100","4","개인","개인","2012","오송생명5로 275","-","중개거래","충북 청주시 흥덕구"
"133","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6200","202503","21","6,900","12","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"134","충청북도 청주시 흥덕구 비하동","785","0785","0000","(785)","30.1200","202503","21","4,600","5","개인","개인","2010","비하로12번길 15","-","중개거래","충북 청주시 흥덕구"
"135","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","44.0900","202503","19","17,000","3","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"136","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202503","19","6,400","13","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"137","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","50.5300","202503","18","21,000","9","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"138","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","33.4500","202503","17","11,825","14","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"139","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6300","202503","15","6,950","12","개인","개인","2014","오송생명3로 31","-","직거래","-"
"140","충청북도 청주시 흥덕구 외북동","317","0317","0000","아크로폴리스","37.0500","202503","15","13,450","5","개인","개인","2019","엘지로 23","-","중개거래","충북 청주시 흥덕구"
"141","충청북도 청주시 흥덕구 오송읍 만수리","857","0857","0000","골드리치오피스텔","58.2150","202503","14","7,500","11","개인","개인","2012","오송생명5로 275","-","중개거래","충북 청주시 흥덕구"
"142","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","28.9000","202503","13","8,300","11","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"143","충청북도 청주시 흥덕구 비하동","785","0785","0000","(785)","33.1900","202503","10","5,000","3","개인","개인","2010","비하로12번길 15","-","직거래","-"
"144","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","33.4500","202503","07","11,800","9","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"145","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","29.2400","202503","06","10,500","11","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"146","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.6300","202503","05","6,450","8","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"147","충청북도 청주시 흥덕구 오송읍 만수리","862","0862","0000","오송읍 만수리 862 업무시설 (현경미래개발주식회사)","22.4400","202503","04","9,500","9","개인","법인","2020","오송생명3로 184","-","직거래","-"
"148","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202503","03","6,670","3","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"149","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202503","01","5,000","5","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"150","충청북도 청주시 흥덕구 비하동","796","0796","0000","현대오피스텔","37.8000","202503","01","4,900","6","개인","법인","2003","비하로12번길 14","-","중개거래","충북 청주시 흥덕구"
"151","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202503","01","5,000","5","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"152","충청북도 청주시 흥덕구 복대동","3404","3404","0000","청주 지웰시티 푸르지오","84.8860","202503","01","30,000","12","개인","개인","2019"," ","-","중개거래","충북 청주시 흥덕구"
"153","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202502","28","6,250","13","법인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"154","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202502","28","4,900","15","법인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"155","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","41.9000","202502","27","13,500","6","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"156","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202502","26","7,000","7","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"157","충청북도 청주시 흥덕구 비하동","785","0785","0000","(785)","33.1900","202502","25","5,100","5","개인","개인","2010","비하로12번길 15","-","중개거래","충북 청주시 흥덕구"
"158","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","29.2400","202502","25","9,500","14","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"159","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","37.6100","202502","24","9,700","14","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 청원구, 충북 청주시 흥덕구"
"160","충청북도 청주시 흥덕구 복대동","3404","3404","0000","청주 지웰시티 푸르지오","84.8860","202502","24","36,100","18","개인","개인","2019"," ","-","중개거래","충북 청주시 흥덕구"
"161","충청북도 청주시 흥덕구 복대동","3404","3404","0000","청주 지웰시티 푸르지오","84.8860","202502","24","28,000","18","개인","개인","2019"," ","20250304","중개거래","충북 청주시 흥덕구"
"162","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","39.8800","202502","24","14,300","15","개인","법인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"163","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","30.3300","202502","23","11,000","10","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"164","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202502","20","6,200","10","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"165","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","37.6100","202502","19","8,000","15","개인","개인","2016","가로수로1164번길 41-33","-","직거래","-"
"166","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202502","18","6,800","10","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"167","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.8900","202502","15","6,800","16","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"168","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","30.3300","202502","15","10,700","8","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"169","충청북도 청주시 흥덕구 오송읍 연제리","673","0673","0000","1동","57.3800","202502","14","14,100","10","개인","개인","2016"," ","-","중개거래","충북 청주시 흥덕구"
"170","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202502","11","4,750","3","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"171","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202502","10","7,070","11","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"172","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주 강서 동광모닝스카이","20.4700","202502","10","4,750","5","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구"
"173","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202502","10","6,400","15","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"174","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202502","10","7,250","17","법인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"175","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","25.2300","202502","09","9,700","11","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"176","충청북도 청주시 흥덕구 오송읍 만수리","521","0521","0000","예스오피스텔","34.0000","202502","07","6,000","11","개인","개인","2012","오송생명로 200","-","직거래","-"
"177","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202502","07","6,300","8","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"178","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202502","06","6,400","13","법인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"179","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","28.8000","202502","05","10,400","9","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"180","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.8900","202502","04","7,200","19","개인","개인","2014","오송생명3로 31","-","직거래","-"
"181","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202502","04","6,250","9","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"182","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","46.8300","202502","02","13,500","11","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"183","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202501","28","6,200","16","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"184","충청북도 청주시 흥덕구 비하동","784","0784","0000","(784)","36.0000","202501","24","3,950","9","개인","개인","2008","비하로18번길 10","-","중개거래","충북 청주시 흥덕구"
"185","충청북도 청주시 흥덕구 비하동","785","0785","0000","(785)","33.1900","202501","21","5,300","5","개인","개인","2010","비하로12번길 15","-","중개거래","충북 청주시 흥덕구"
"186","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.8900","202501","20","5,800","2","개인","개인","2014","오송생명3로 31","-","중개거래","서울 관악구"
"187","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","46.8300","202501","18","14,500","18","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"188","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.8900","202501","16","5,800","2","개인","개인","2014","오송생명3로 31","-","중개거래","서울 관악구"
"189","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","25.2300","202501","14","9,250","5","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"190","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.8900","202501","11","6,900","11","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"191","충청북도 청주시 흥덕구 복대동","288-62","0288","0062","대농지구 롯데캐슬시티","48.3500","202501","11","19,400","9","개인","개인","2017","진재로 141","-","중개거래","충북 청주시 흥덕구"
"192","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202501","09","7,200","16","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"193","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","30.2600","202501","04","8,450","22","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"194","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","28.9000","202501","03","8,450","20","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"195","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202501","02","7,100","12","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"196","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","28.9000","202501","01","8,800","20","법인","개인","2014","오송생명3로 31","-","직거래","-"
