주소,면적,금액,월세,타입,위도 ,경도
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명14로 283,84.9924,25500,0,아파트(전월세),36.6213379,127.3120193
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 복대동 대농로 55,80.002,2000,200,아파트(전월세),36.6430295,127.4291934
충청북도 청주시 흥덕구 비하동 비하로18번길 10,30,3700,0,오피스텔(매매),36.6288083,127.4259278
충청북도 청주시 흥덕구 강서동 2순환로 1222,22.08,300,45,오피스텔(전월세),36.6176842,127.4208609
충청북도 청주시 흥덕구 송절동 송화로108번길 75,36.12,100,75,오피스텔(전월세),36.6650235,127.4521924
충청북도 청주시 상당구 용암동 중고개로125번길,50.66,12000,0,단독다가구(전월세),36.6151168,127.5165679
충청북도 청주시 상당구 방서동 월운로58번길,123.76,21000,0,단독다가구(전월세),36.6040579,127.5172064
충청북도 청주시 상당구 대성동 용담로,58.07,11000,0,단독다가구(전월세),36.6346917,127.4972402
충청북도 청주시 상당구 대성동 용담로63번길 33,127.22,20500,0,아파트(매매),36.6333797,127.4988269
충청북도 청주시 상당구 금천동 쇠내로 48,84.6785,27000,0,아파트(전월세),36.6239062,127.5006205
충청북도 청주시 상당구 금천동 수영로 204,27.29,200,25,아파트(전월세),36.623029,127.5042882
충청북도 청주시 서원구 수곡동 서원남로19번길,22.64,770,4,단독다가구(전월세),36.6206203,127.4844962
충청북도 청주시 서원구 모충동 구룡산로375번길,21,200,38,단독다가구(전월세),36.6211896,127.4868358
충청북도 청주시 서원구 남이면 석판리 대림로,33,500,50,단독다가구(전월세),36.6061698,127.4418071
충청북도 청주시 서원구 사직동 예체로 68,84.4,33000,0,아파트(매매),36.6320742,127.4702659
충청북도 청주시 서원구 개신동 신율로 71,38.52,5300,0,아파트(전월세),36.6242071,127.4466793
충청북도 청주시 서원구 분평동 1순환로1137번길 130,49.77,9700,0,아파트(전월세),36.6126277,127.4941736
충청북도 청주시 서원구 개신동 복대로17번길 23,24.12,300,35,아파트(전월세),36.6181734,127.4452302
충청북도 청주시 서원구 모충동 쌍샘로 22,74.77,27000,0,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,51.9,10077,17,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 남들로35번길 61,41.82,500,40,아파트(전월세),36.6213749,127.4808332
충청북도 청주시 서원구 분평동 분평로 49,59.7254,16500,0,아파트(전월세),36.6098701,127.4913384
충청북도 청주시 서원구 개신동 경신로 68,59.42,2000,70,아파트(전월세),36.620993,127.4493921
충청북도 청주시 서원구 수곡동 매봉로76번길 18,68.31,7000,20,아파트(전월세),36.6166063,127.4789376
충청북도 청주시 서원구 수곡동 수곡로 36,59.4,12500,0,아파트(전월세),36.6156758,127.4749723
충청북도 청주시 서원구 사창동 1순환로 642,34.26,4200,0,오피스텔(매매),36.6361972,127.4592437
충청북도 청주시 청원구 율량동 율봉로212번길,25,200,35,단독다가구(전월세),36.6663066,127.4916639
충청북도 청주시 청원구 율량동 율봉로181번길,25,300,38,단독다가구(전월세),36.6699081,127.4894021
충청북도 청주시 청원구 오창읍 구룡리 구룡택지안길,63.32,10000,0,단독다가구(전월세),36.7089876,127.4127177
충청북도 청주시 청원구 오창읍 주성리 주성3길,28,300,45,단독다가구(전월세),36.7376002,127.4542413
충청북도 청주시 청원구 오창읍 괴정리 괴정길 18-9,59.995,8000,0,아파트(매매),36.7305269,127.4642464
충청북도 청주시 청원구 오창읍 각리 오창공원로 96,84.9893,47200,0,아파트(매매),36.7131077,127.4225889
충청북도 청주시 청원구 율량동 율봉로160번길 7,75.42,17500,0,아파트(매매),36.668008,127.487229
충청북도 청주시 청원구 오창읍 각리 오창공원로 96,84.9893,48750,0,아파트(매매),36.7131077,127.4225889
충청북도 청주시 청원구 내수읍 마산리 마산3길 3,59.97,5600,0,아파트(매매),36.720358,127.5387444
충청북도 청주시 청원구 오창읍 각리 오창중앙로 64,84.9867,24500,0,아파트(전월세),36.7075956,127.4225081
충청북도 청주시 청원구 오창읍 각리 오창중앙로 32,59.9271,1000,90,아파트(전월세),36.7092307,127.4245797
충청북도 청주시 청원구 율량동 율천북로 91,75.9895,31950,0,아파트(전월세),36.6638933,127.4805035
충청북도 청주시 청원구 오창읍 주성리 2산단4로 60,57.7554,5587,28,아파트(전월세),36.7372588,127.4508094
충청북도 청주시 청원구 오창읍 양청리 중부로 760,47.2986,15500,0,오피스텔(매매),36.7101176,127.4363397
충청북도 청주시 흥덕구 복대동 죽천로131번길,20,300,43,단독다가구(전월세),36.638828,127.437052
충청북도 청주시 흥덕구 오송읍 만수리 만수길,23,200,31,단독다가구(전월세),36.6244247,127.327566
충청북도 청주시 흥덕구 오송읍 봉산리 봉산1길,30,12000,0,단독다가구(전월세),36.6195184,127.3218386
충청북도 청주시 흥덕구 봉명동 1순환로535번길,18,300,60,단독다가구(전월세),36.6446147,127.4645515
충청북도 청주시 흥덕구 봉명동 덕암로35번길,36.96,7500,0,단독다가구(전월세),36.6556257,127.4581453
충청북도 청주시 흥덕구 봉명동 봉명로177번길,18,300,60,단독다가구(전월세),36.6413591,127.46257
충청북도 청주시 흥덕구 봉명동 천석로,25,5000,0,단독다가구(전월세),36.6402479,127.4654461
충청북도 청주시 흥덕구 봉명동 덕암로,33,200,35,단독다가구(전월세),36.6519308,127.4599297
충청북도 청주시 흥덕구 봉명동 봉명로223번길,20,200,35,단독다가구(전월세),36.6412741,127.466501
충청북도 청주시 흥덕구 봉명동 덕암로35번길,26,500,45,단독다가구(전월세),36.6556257,127.4581453
충청북도 청주시 흥덕구 봉명동 덕암로35번길,26.22,500,45,단독다가구(전월세),36.6556257,127.4581453
충청북도 청주시 흥덕구 송절동 송화로116번길,32.18,500,61,단독다가구(전월세),36.66345,127.4479555
충청북도 청주시 흥덕구 복대동 진재로9번길,24,2700,0,단독다가구(전월세),36.6317564,127.429709
충청북도 청주시 흥덕구 복대동 성봉로271번길,135.3,16000,0,단독다가구(전월세),36.6292894,127.4492551
충청북도 청주시 흥덕구 가경동 서현서로 40,84.962,39200,0,아파트(매매),36.6214114,127.426509
충청북도 청주시 흥덕구 송절동 송화로214번길 29,84.9821,42800,0,아파트(매매),36.6681232,127.4589082
충청북도 청주시 흥덕구 송절동 송화로214번길 29,84.9361,47000,0,아파트(매매),36.6681232,127.4589082
충청북도 청주시 흥덕구 송절동 송화로214번길 29,84.9967,47700,0,아파트(매매),36.6681232,127.4589082
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.9822,34450,0,아파트(매매),36.6223386,127.3184637
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.98,32500,0,아파트(매매),36.6223386,127.3184637
충청북도 청주시 흥덕구 가경동 서현로 30,84.839,59500,0,아파트(매매),36.6154888,127.4267978
충청북도 청주시 흥덕구 가경동 풍년로 40,84.91,31500,0,아파트(매매),36.6179461,127.4403121
충청북도 청주시 흥덕구 가경동 서현로 62,105.64,75500,0,아파트(매매),36.6167827,127.4286454
충청북도 청주시 흥덕구 비하동 2순환로 1106,74.3861,44500,0,아파트(매매),36.6343609,127.4200832
충청북도 청주시 흥덕구 복대동 증안로 21,59.3291,17800,0,아파트(매매),36.6376709,127.4248296
충청북도 청주시 흥덕구 복대동 증안로 21,59.3291,20400,0,아파트(매매),36.6376709,127.4248296
충청북도 청주시 흥덕구 오송읍 만수리 오송생명5로 201,84.91,21000,0,아파트(전월세),36.6289276,127.3301681
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.98,2000,85,아파트(전월세),36.6223386,127.3184637
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.9822,28000,0,아파트(전월세),36.6223386,127.3184637
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명14로 217,134.4924,39000,0,아파트(전월세),36.6213379,127.3120193
충청북도 청주시 흥덕구 복대동 증안로 77,60,17000,0,아파트(전월세),36.6366651,127.4321849
충청북도 청주시 흥덕구 송절동 송화로214번길 7,84.995,26000,30,아파트(전월세),36.6694702,127.4576636
충청북도 청주시 흥덕구 송절동 송화로 115,84.99,34000,0,아파트(전월세),36.6635187,127.4443877
충청북도 청주시 흥덕구 봉명동 직지대로 605,41.5752,13000,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 비하동 2순환로1050번길 13-14,45.32,9900,0,아파트(전월세),36.6402241,127.4207587
충청북도 청주시 흥덕구 오송읍 만수리 오송생명5로 201,84.91,21000,0,아파트(전월세),36.6289276,127.3301681
충청북도 청주시 흥덕구 가경동 풍년로 40,75.22,24000,0,아파트(전월세),36.6179461,127.4403121
충청북도 청주시 흥덕구 가경동 서현서로 40,84.977,33000,0,아파트(전월세),36.6214114,127.426509
충청북도 청주시 흥덕구 가경동 가경로 100-20,59.85,13500,0,아파트(전월세),36.6240917,127.4407952
충청북도 청주시 상당구 용암동 중고개로125번길,50.66,2000,68,단독다가구(전월세),36.6151168,127.5165679
충청북도 청주시 상당구 용정동 영운천로129번길,49.5,500,45,단독다가구(전월세),36.6224151,127.511218
충청북도 청주시 상당구 용암동 원봉로 52,49.8,8400,0,아파트(매매),36.6146965,127.5098293
충청북도 청주시 상당구 금천동 중고개로 286,59.2962,17000,0,아파트(매매),36.6282343,127.50944
충청북도 청주시 상당구 금천동 꽃산동로 40,59.85,6000,0,아파트(매매),36.623122,127.5076021
충청북도 청주시 상당구 용암동 중고개로142번길 20,84.9687,49500,0,아파트(매매),36.6177681,127.5209221
충청북도 청주시 상당구 용암동 중흥로 148,59.9019,13700,0,아파트(전월세),36.6166972,127.5117754
충청북도 청주시 상당구 용암동 중고개로 140,84.9258,40000,0,아파트(전월세),36.6169444,127.5197269
충청북도 청주시 상당구 용암동 중흥로 148,59.9019,13700,0,아파트(전월세),36.6166972,127.5117754
충청북도 청주시 상당구 탑동 용담로 50,84.847,35000,0,아파트(전월세),36.6331952,127.4984246
충청북도 청주시 상당구 문의면 미천리 대청호반로 830,72.04,10150,0,연립다세대(매매),36.5161607,127.5004305
충청북도 청주시 서원구 성화동 용호로15번길,45.51,1000,48,단독다가구(전월세),36.614458,127.4460756
충청북도 청주시 서원구 개신동 신율로 43,84.8,24300,0,아파트(매매),36.6220885,127.4452288
