주소,면적,금액,월세,타입,위도 ,경도
충청북도 청주시 서원구 수곡동 구룡산로 319,39.69,9000,0,아파트(매매),36.6200079,127.4801332
충청북도 청주시 서원구 사창동 사직대로 160,49.014,667,13,아파트(전월세),36.6348115,127.4650427
충청북도 청주시 서원구 분평동 분평로 18,84.9,3000,60,아파트(전월세),36.6073842,127.4872828
충청북도 청주시 서원구 사창동 사직대로 160,49.9084,100,20,아파트(전월세),36.6348115,127.4650427
충청북도 청주시 서원구 수곡동 수곡로 20,76.9922,29000,0,아파트(전월세),36.6146618,127.4765967
충청북도 청주시 서원구 분평동 1순환로1137번길 129,59.71,1000,55,아파트(전월세),36.6120152,127.4913332
충청북도 청주시 서원구 모충동 쌍샘로 22,51.9,5026,36,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,39.74,3089,31,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,51.9,5026,36,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 모충로 61,51.02,500,40,아파트(전월세),36.6278576,127.4699229
충청북도 청주시 서원구 모충동 서원서로 27,74.35,9500,0,아파트(전월세),36.6246535,127.4788132
충청북도 청주시 서원구 모충동 쌍샘로 22,51.9,5026,36,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 개신동 성봉로220번길 23,125.34,5000,90,아파트(전월세),36.6246524,127.4506001
충청북도 청주시 서원구 개신동 신율로 13,84.7858,24675,0,아파트(전월세),36.6194207,127.4470454
충청북도 청주시 서원구 성화동 장전로 11,36.5,1746,14,아파트(전월세),36.6176941,127.4509303
충청북도 청주시 서원구 사창동 사직대로 160,58.53,6912,9,오피스텔(전월세),36.6348115,127.4650427
충청북도 청주시 서원구 성화동 신화로36번길 20,59.24,9989,14,오피스텔(전월세),36.6180897,127.4567765
충청북도 청주시 청원구 우암동 대성로261번길,32.7,1000,80,단독다가구(전월세),36.6486612,127.4907331
충청북도 청주시 청원구 오창읍 구룡리 구룡2길,56,500,50,단독다가구(전월세),36.7111939,127.4126339
충청북도 청주시 청원구 오창읍 주성리 주성3길,30,300,42,단독다가구(전월세),36.7376002,127.4542413
충청북도 청주시 청원구 오창읍 양청리 양청택지1길,37,400,44,단독다가구(전월세),36.7184069,127.4210228
충청북도 청주시 청원구 오창읍 양청리 양청택지1길,74.21,11000,0,단독다가구(전월세),36.7184069,127.4210228
충청북도 청주시 청원구 오창읍 양청리 양청택지4길,35,300,41,단독다가구(전월세),36.7209848,127.4252767
충청북도 청주시 청원구 우암동 수암로,27,5000,0,단독다가구(전월세),36.6496109,127.4938511
충청북도 청주시 청원구 내수읍 은곡리 은곡묵방길 28,38.61,3120,0,아파트(매매),36.709938,127.5252976
충청북도 청주시 청원구 사천동 율봉로 8,84.5499,31000,0,아파트(매매),36.6613541,127.472749
충청북도 청주시 청원구 율량동 율중로7번길 100,71.4011,29800,0,아파트(매매),36.6584111,127.5128757
충청북도 청주시 청원구 율량동 사뜸로52번길 15,34.79,6500,0,아파트(매매),36.6672826,127.4817361
충청북도 청주시 청원구 오창읍 각리 오창중앙로 94,84.573,26500,0,아파트(매매),36.7094103,127.4193911
충청북도 청주시 청원구 오창읍 각리 오창중앙로 105,59.945,19500,0,아파트(매매),36.7075819,127.4178278
충청북도 청주시 청원구 주성동 율량로 103,84.798,35000,0,아파트(전월세),36.6734227,127.4977822
충청북도 청주시 청원구 오창읍 각리 오창공원로 96,84.9893,37000,0,아파트(전월세),36.7131077,127.4225889
충청북도 청주시 청원구 주중동 율량로 77,84.43,36000,0,아파트(전월세),36.6737847,127.4947624
충청북도 청주시 청원구 내덕동 덕벌로23번길 18,55.44,500,50,아파트(전월세),36.6553631,127.4944836
충청북도 청주시 청원구 오창읍 주성리 2산단4로 20,82.8216,16542,0,아파트(전월세),36.7352692,127.448001
충청북도 청주시 청원구 오창읍 주성리 2산단4로 20,82.8216,5335,46,아파트(전월세),36.7352692,127.448001
충청북도 청주시 청원구 오창읍 주성리 2산단로 125,57.7554,5682,29,아파트(전월세),36.7341863,127.4497485
충청북도 청주시 청원구 오창읍 양청리 중부로 760,70.9515,4000,115,아파트(전월세),36.7101176,127.4363397
충청북도 청주시 청원구 오창읍 주성리 2산단4로 60,57.7554,12357,0,아파트(전월세),36.7372588,127.4508094
충청북도 청주시 청원구 오창읍 주성리 2산단로 151,82.9434,16542,0,아파트(전월세),36.7354987,127.4511016
충청북도 청주시 청원구 율량동 공항로 105,105.81,13500,12,아파트(전월세),36.6662476,127.4854198
충청북도 청주시 흥덕구 가경동 풍년로103번길,20,100,27,단독다가구(전월세),36.6216419,127.4347457
충청북도 청주시 흥덕구 가경동 장구봉로26번길,97.72,500,30,단독다가구(전월세),36.6203457,127.4376782
충청북도 청주시 흥덕구 봉명동 월명로178번길,45,500,71,단독다가구(전월세),36.6504036,127.4558567
충청북도 청주시 흥덕구 봉명동 1순환로549번길,49.94,7000,0,단독다가구(전월세),36.6436555,127.4667631
충청북도 청주시 흥덕구 봉명동 덕암로71번길,59,500,70,단독다가구(전월세),36.6530557,127.4626248
충청북도 청주시 흥덕구 운천동 운천로,42,5000,0,단독다가구(전월세),36.6511465,127.4753961
충청북도 청주시 흥덕구 복대동 진재로35번길,110,3000,80,단독다가구(전월세),36.6338524,127.4282793
충청북도 청주시 흥덕구 복대동 진재로23번길,45,500,29,단독다가구(전월세),36.6329948,127.4285197
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명12로,40,500,60,단독다가구(전월세),36.6226033,127.3148358
충청북도 청주시 흥덕구 오송읍 봉산리 봉산2길,40.42,2500,59,단독다가구(전월세),36.6210924,127.3189883
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명14로,66,12000,0,단독다가구(전월세),36.6213379,127.3120193
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.98,34700,0,아파트(매매),36.6223386,127.3184637
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.7397,37400,0,아파트(매매),36.6223386,127.3184637
충청북도 청주시 흥덕구 강내면 월곡리 가로수로 640-47,84.8504,36500,0,아파트(매매),36.6237517,127.3709378
충청북도 청주시 흥덕구 복대동 대농로 45,70.678,58500,0,아파트(매매),36.6445295,127.4281209
충청북도 청주시 흥덕구 강서동 서현동로 21,27.54,1000,35,아파트(전월세),36.6241349,127.4294
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명14로 283,84.914,25500,0,아파트(전월세),36.6213379,127.3120193
충청북도 청주시 흥덕구 송절동 송화로184번길 7,84.9725,30500,0,아파트(전월세),36.66808,127.4544564
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.9822,21000,0,아파트(전월세),36.6223386,127.3184637
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.6256,500,60,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 강서동 가로수로1164번길 41-28,29.86,1000,70,아파트(전월세),36.625537,127.428368
충청북도 청주시 흥덕구 복대동 내수동로12번길 5,65.88,1000,30,아파트(전월세),36.6331496,127.4491783
충청북도 청주시 흥덕구 오송읍 연제리 오송생명3로 111,84.8873,3000,100,아파트(전월세),36.6278036,127.3264449
충청북도 청주시 흥덕구 복대동 진재로 141,33.45,11900,0,오피스텔(매매),36.6436415,127.4310697
충청북도 청주시 흥덕구 강서동 2순환로 1222,22.08,500,50,오피스텔(전월세),36.6176842,127.4208609
충청북도 청주시 흥덕구 오송읍 연제리 오송생명로 161,58.76,14000,0,오피스텔(전월세),36.6325175,127.3274973
충청북도 청주시 흥덕구 오송읍 연제리 오송생명3로 31,24.63,400,42,오피스텔(전월세),36.634919,127.3286182
충청북도 청주시 흥덕구 오송읍 연제리 오송생명로 161,58.76,13700,0,오피스텔(전월세),36.6325175,127.3274973
충청북도 청주시 흥덕구 비하동 비하로18번길 10,36,300,38,오피스텔(전월세),36.6288083,127.4259278
충청북도 청주시 상당구 방서동 단재로293번길,50,500,40,단독다가구(전월세),36.6041096,127.5042139
충청북도 청주시 상당구 용암동 동남로135번길,61.38,1125,33,단독다가구(전월세),36.6069904,127.5193648
충청북도 청주시 상당구 용암동 동남로109번길,67.32,1047,29,단독다가구(전월세),36.6055857,127.516358
충청북도 청주시 상당구 용암동 동남로109번길,67.32,1047,29,단독다가구(전월세),36.6055857,127.516358
충청북도 청주시 상당구 용암동 동남로109번길,67.32,1047,30,단독다가구(전월세),36.6055857,127.516358
충청북도 청주시 상당구 용암동 동남로135번길,61.38,1125,33,단독다가구(전월세),36.6069904,127.5193648
충청북도 청주시 상당구 용정동 영운천로133번길,23.1,200,30,단독다가구(전월세),36.6223717,127.5115239
충청북도 청주시 상당구 금천동 중고개로337번길 23,70.22,12000,0,아파트(매매),36.6287505,127.5029504
충청북도 청주시 상당구 용암동 중고개로142번길 20,84.9687,49500,0,아파트(매매),36.6177681,127.5209221
충청북도 청주시 상당구 방서동 동남로 2,84.9481,45500,0,아파트(매매),36.605212,127.5148412
충청북도 청주시 상당구 방서동 2순환로 2031,84.8401,41000,0,아파트(매매),36.5980137,127.5008131
충청북도 청주시 상당구 용암동 중흥로 70,83.82,20500,0,아파트(매매),36.6112678,127.5050054
충청북도 청주시 상당구 용암동 중고개로142번길 17,84.9954,47000,0,아파트(매매),36.6192044,127.5180737
충청북도 청주시 상당구 용암동 월평로 243,60,8000,0,아파트(매매),36.6073418,127.5113323
충청북도 청주시 상당구 용암동 무농정로 90,41.85,7300,0,아파트(매매),36.6095394,127.5124562
충청북도 청주시 상당구 북문로2가 중앙로 9-1,18.975,200,10,아파트(전월세),36.6380162,127.4885306
충청북도 청주시 상당구 용암동 호미로 137,37.78,2412,28,아파트(전월세),36.6214102,127.5192939
충청북도 청주시 상당구 용암동 호미로 137,46.97,5906,12,아파트(전월세),36.6214102,127.5192939
충청북도 청주시 상당구 북문로2가 중앙로 9-1,38.03,100,20,아파트(전월세),36.6380162,127.4885306
충청북도 청주시 상당구 북문로2가 중앙로 9-1,38.11,100,20,아파트(전월세),36.6380162,127.4885306
충청북도 청주시 서원구 성화동 성화로,50,7000,0,단독다가구(전월세),36.610852,127.4498941
충청북도 청주시 서원구 산남동 두꺼비로 63,84.9992,28000,0,아파트(매매),36.6102658,127.4627307
충청북도 청주시 서원구 산남동 두꺼비로 93,84.9306,26300,0,아파트(매매),36.6125754,127.4627054
충청북도 청주시 서원구 산남동 두꺼비로 63,84.9992,28000,0,아파트(매매),36.6102658,127.4627307
충청북도 청주시 서원구 수곡동 수곡로 20,63.9348,31000,0,아파트(매매),36.6146618,127.4765967
충청북도 청주시 서원구 수곡동 구룡산로 319,39.3,9000,0,아파트(매매),36.6200079,127.4801332
충청북도 청주시 서원구 개신동 창직로12번길 65,84.96,17900,0,아파트(매매),36.6282925,127.4647481
충청북도 청주시 서원구 남이면 가마리 2순환로 1717,80.7532,26000,0,아파트(전월세),36.5983248,127.4693229
충청북도 청주시 서원구 사직동 창직로 50,84.4,15881,13,아파트(전월세),36.6296746,127.4668128
충청북도 청주시 서원구 성화동 구룡산로52번길 51,84.96,27500,0,아파트(전월세),36.6116539,127.4515471
충청북도 청주시 서원구 성화동 장전로 80,59.88,5915,10,아파트(전월세),36.616158,127.4576818
충청북도 청주시 서원구 성화동 장전로 11,46.93,2646,19,아파트(전월세),36.6176941,127.4509303
충청북도 청주시 서원구 남이면 가마리 2순환로 1717,80.7532,26000,0,아파트(전월세),36.5983248,127.4693229
충청북도 청주시 서원구 개신동 예체로7번길 33,38.655,9500,1,아파트(전월세),36.6262777,127.4673032
충청북도 청주시 서원구 성화동 구룡산로52번길 51,84.93,27000,0,아파트(전월세),36.6116539,127.4515471
충청북도 청주시 서원구 모충동 쌍샘로 22,51.9,5026,36,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,84.85,28500,0,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 사직동 예체로 68,84.4,25000,0,아파트(전월세),36.6320742,127.4702659
충청북도 청주시 서원구 수곡동 청남로 2060,21.89,2498,13,아파트(전월세),36.6177955,127.4806869
충청북도 청주시 서원구 성화동 장전로 11,46.73,2646,19,아파트(전월세),36.6176941,127.4509303
충청북도 청주시 서원구 모충동 쌍샘로 22,74.89,27000,0,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,39.74,3089,31,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,39.74,3089,31,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,39.74,3089,31,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,39.74,3089,31,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 미평동 남지로21번길 39,260.43,76000,0,연립다세대(매매),36.6038515,127.4609731
충청북도 청주시 서원구 산남동 1순환로 852,56.32,7500,0,연립다세대(전월세),36.6199997,127.4661018
충청북도 청주시 청원구 오창읍 양청리 양청길,25,300,31,단독다가구(전월세),36.7181131,127.4251107
충청북도 청주시 청원구 오창읍 양청리 양청택지로,30,200,38,단독다가구(전월세),36.7188273,127.42097
충청북도 청주시 청원구 율량동 율봉로176번길,33,300,35,단독다가구(전월세),36.6671266,127.4880388
충청북도 청주시 청원구 율량동 충청대로115번길,28.22,500,50,단독다가구(전월세),36.6668574,127.4921739
충청북도 청주시 청원구 율량동 율천북로119번길,50,500,35,단독다가구(전월세),36.6647819,127.4838067
충청북도 청주시 청원구 율량동 율량로201번길,53.5,500,75,단독다가구(전월세),36.664887,127.5003308
충청북도 청주시 청원구 율량동 율량로 157,103.7399,49000,0,아파트(매매),36.6683856,127.5001988
충청북도 청주시 청원구 율량동 율천북로 91,59.9396,31900,0,아파트(매매),36.6638933,127.4805035
충청북도 청주시 청원구 사천동 사뜸로61번길 106,49.5,11700,0,아파트(매매),36.6650833,127.476095
충청북도 청주시 청원구 사천동 사뜸로61번길 106,49.5,10000,0,아파트(매매),36.6650833,127.476095
충청북도 청주시 청원구 오창읍 양청리 중부로 760,84.9749,42500,0,아파트(매매),36.7101176,127.4363397
충청북도 청주시 청원구 내수읍 은곡리 은곡묵방길 52-10,59.739,9000,0,아파트(매매),36.7106935,127.5252742
충청북도 청주시 청원구 오창읍 각리 오창중앙로 13,59.86,18200,0,아파트(전월세),36.7092415,127.4284834
충청북도 청주시 청원구 오창읍 각리 오창중앙로 13,59.86,18200,0,아파트(전월세),36.7092415,127.4284834
충청북도 청주시 청원구 오창읍 복현리 복현3길 27,59.85,1000,60,아파트(전월세),36.7440624,127.4540434
충청북도 청주시 청원구 오창읍 주성리 2산단로 151,82.8216,16542,0,아파트(전월세),36.7354987,127.4511016
충청북도 청주시 청원구 오창읍 주성리 2산단로 125,57.7554,12567,0,아파트(전월세),36.7341863,127.4497485
충청북도 청주시 청원구 오창읍 주성리 2산단로 125,57.7554,12567,0,아파트(전월세),36.7341863,127.4497485
충청북도 청주시 청원구 오창읍 주성리 2산단4로 20,82.8216,16542,0,아파트(전월세),36.7352692,127.448001
충청북도 청주시 청원구 오창읍 주성리 2산단4로 20,82.8216,8538,33,아파트(전월세),36.7352692,127.448001
충청북도 청주시 청원구 오창읍 주성리 2산단4로 20,82.8216,16542,0,아파트(전월세),36.7352692,127.448001
충청북도 청주시 청원구 오창읍 주성리 2산단4로 60,57.7554,5587,28,아파트(전월세),36.7372588,127.4508094
충청북도 청주시 청원구 오창읍 주성리 2산단4로 60,57.7554,12357,0,아파트(전월세),36.7372588,127.4508094
충청북도 청주시 청원구 사천동 율봉로 31,84.78,2000,70,아파트(전월세),36.664107,127.4739025
충청북도 청주시 청원구 우암동 향군로 110,55.5488,9000,0,오피스텔(매매),36.6547248,127.4820526
충청북도 청주시 흥덕구 봉명동 백봉로,25,500,56,단독다가구(전월세),36.6498224,127.449979
충청북도 청주시 흥덕구 오송읍 연제리 연제길,30,3700,0,단독다가구(전월세),36.6264553,127.3200245
충청북도 청주시 흥덕구 운천동 사운로206번길,163.38,500,40,단독다가구(전월세),36.6477407,127.4785157
충청북도 청주시 흥덕구 오송읍 봉산리 봉산1길,25.89,1000,55,단독다가구(전월세),36.6195184,127.3218386
충청북도 청주시 흥덕구 가경동 서현중로31번길,74.53,8500,0,단독다가구(전월세),36.6206247,127.4282876
충청북도 청주시 흥덕구 복대동 월명로35번길,30.51,2000,75,단독다가구(전월세),36.6375638,127.4506854
충청북도 청주시 흥덕구 복대동 진재로103번길,34.1,300,65,단독다가구(전월세),36.6402273,127.4289495
충청북도 청주시 흥덕구 봉명동 덕암로,30,200,35,단독다가구(전월세),36.6519308,127.4599297
충청북도 청주시 흥덕구 봉명동 봉명로,30,300,47,단독다가구(전월세),36.6389982,127.4544288
충청북도 청주시 흥덕구 봉명동 1순환로535번길,39.67,400,50,단독다가구(전월세),36.6446147,127.4645515
충청북도 청주시 흥덕구 강서동 가로수로1154번길 21-5,22.64,3400,0,아파트(매매),36.6260386,127.4254955
충청북도 청주시 흥덕구 신봉동 사운로 335,84.87,18700,0,아파트(매매),36.6557542,127.4682255
충청북도 청주시 흥덕구 복대동 대농로 45,84.691,63500,0,아파트(매매),36.6445295,127.4281209
충청북도 청주시 흥덕구 복대동 짐대로 14,74.9884,23500,0,아파트(매매),36.6346605,127.4254603
충청북도 청주시 흥덕구 복대동 증안로 21,59.3291,20000,0,아파트(매매),36.6376709,127.4248296
충청북도 청주시 흥덕구 봉명동 월명로 124,44.13,9200,0,아파트(매매),36.6456809,127.4546154
충청북도 청주시 흥덕구 비하동 2순환로1050번길 24,59.86,11750,0,아파트(매매),36.6414463,127.4202048
충청북도 청주시 흥덕구 가경동 서현중로 48,84.9468,40200,0,아파트(매매),36.6228386,127.4295528
충청북도 청주시 흥덕구 가경동 가경로 158,59.34,14000,0,아파트(매매),36.6291383,127.4372913
충청북도 청주시 흥덕구 강서동 가로수로1144번길 72-2,59.88,13300,0,아파트(매매),36.6238386,127.4237501
충청북도 청주시 흥덕구 강서동 가로수로1144번길 72-2,59.88,13300,0,아파트(매매),36.6238386,127.4237501
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명8로 178,59.8769,15270,0,아파트(전월세),36.6193122,127.3110625
충청북도 청주시 흥덕구 복대동 증안로 21,59.3291,18000,0,아파트(전월세),36.6376709,127.4248296
충청북도 청주시 흥덕구 강서동 가로수로1164번길 41-33,27.63,1000,60,아파트(전월세),36.6265,127.4281104
충청북도 청주시 흥덕구 강서동 가로수로1164번길 41-8,34.17,7200,0,아파트(전월세),36.6251574,127.4273632
충청북도 청주시 흥덕구 신봉동 1순환로 451,50.86,5000,0,아파트(전월세),36.6507127,127.4699711
충청북도 청주시 흥덕구 문암동 송화로 229,59.9721,32000,0,아파트(전월세),36.66747,127.451927
충청북도 청주시 흥덕구 봉명동 직지대로 551,27.7517,8144,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,27.7517,8144,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,1896,14,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,5056,4,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,27.7517,4886,10,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명14로 215,84.9919,27000,0,아파트(전월세),36.6153468,127.3094805
충청북도 청주시 상당구 용암동 월평로144번길,42.9,300,35,단독다가구(전월세),36.610023,127.5005165
충청북도 청주시 상당구 용암동 중흥로31번길,26.4,200,32,단독다가구(전월세),36.6086323,127.5008793
충청북도 청주시 상당구 용암동 낙영로3번길,26,2000,0,단독다가구(전월세),36.6170508,127.5069599
충청북도 청주시 상당구 용암동 무농정로2번길,57.08,500,30,단독다가구(전월세),36.605012,127.5043779
충청북도 청주시 상당구 금천동 수영로 306,84.9767,22500,0,아파트(매매),36.6309045,127.5077069
충청북도 청주시 상당구 북문로3가 중앙로 80,84.6871,39500,0,아파트(매매),36.6434119,127.4883167
충청북도 청주시 상당구 용암동 중흥로 173,59.987,15600,0,아파트(매매),36.6192456,127.511194
충청북도 청주시 상당구 용담동 수영로 359,84.9813,40700,0,아파트(매매),36.635521,127.5119817
충청북도 청주시 상당구 금천동 꽃산동로 41,84.9,13000,0,아파트(매매),36.6223505,127.5090102
충청북도 청주시 상당구 탑동 용담로 50,84.847,41800,0,아파트(매매),36.6331952,127.4984246
충청북도 청주시 상당구 금천동 꽃산동로 41,84.9,13000,0,아파트(매매),36.6223505,127.5090102
충청북도 청주시 상당구 금천동 호미로 285,84.9916,21400,0,아파트(매매),36.6310575,127.5096998
충청북도 청주시 상당구 대성동 용담로63번길 33,84.95,17000,0,아파트(매매),36.6333797,127.4988269
충청북도 청주시 상당구 용정동 수영로 360,84.9874,39000,0,아파트(매매),36.632405,127.5128626
충청북도 청주시 상당구 용암동 중고개로142번길 17,84.9954,47000,0,아파트(매매),36.6192044,127.5180737
충청북도 청주시 상당구 탑동 용담로 50,84.847,36000,0,아파트(전월세),36.6331952,127.4984246
충청북도 청주시 상당구 용담동 수영로 359,84.9696,34500,0,아파트(전월세),36.635521,127.5119817
충청북도 청주시 상당구 탑동 용담로 50,84.847,36000,0,아파트(전월세),36.6331952,127.4984246
충청북도 청주시 상당구 용암동 호미로 137,26.58,2014,7,아파트(전월세),36.6214102,127.5192939
충청북도 청주시 상당구 용암동 호미로 137,37.78,4037,9,아파트(전월세),36.6214102,127.5192939
충청북도 청주시 상당구 용암동 월평로253번길 110,203.675,31000,0,연립다세대(매매),36.6096942,127.5153694
충청북도 청주시 상당구 남일면 효촌리 효촌송암길 18-26,27.8,100,20,연립다세대(전월세),36.5892269,127.5085152
충청북도 청주시 서원구 사창동 1순환로727번길,26,200,30,단독다가구(전월세),36.6291414,127.4629712
충청북도 청주시 서원구 개신동 경신로 67,49.93,14250,0,아파트(매매),36.6225849,127.4484175
충청북도 청주시 서원구 산남동 두꺼비로 63,84.9992,29200,0,아파트(매매),36.6102658,127.4627307
충청북도 청주시 서원구 수곡동 수곡로 20,76.9922,36900,0,아파트(매매),36.6146618,127.4765967
충청북도 청주시 서원구 분평동 1순환로1137번길 80,49.76,12800,0,아파트(매매),36.6098375,127.4941707
충청북도 청주시 서원구 분평동 1순환로1137번길 129,39.69,8500,0,아파트(매매),36.6120152,127.4913332
충청북도 청주시 서원구 모충동 매봉로 190,69.7627,22500,0,아파트(매매),36.6259868,127.4761169
충청북도 청주시 서원구 모충동 모충로96번길 51,73.62,8000,0,아파트(매매),36.6248428,127.473508
충청북도 청주시 서원구 분평동 매봉로2번길 55,156.74,27000,0,아파트(매매),36.6108935,127.4809674
충청북도 청주시 서원구 산남동 두꺼비로 53,84.955,29000,0,아파트(매매),36.6089194,127.4634665
충청북도 청주시 서원구 모충동 남들로35번길 61,49.59,3500,30,아파트(전월세),36.6213749,127.4808332
충청북도 청주시 서원구 모충동 쌍샘로 22,74.77,28000,0,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 수곡동 수곡로 20,84.9616,34500,0,아파트(전월세),36.6146618,127.4765967
충청북도 청주시 청원구 주중동 율량로10번길,39.21,500,40,단독다가구(전월세),36.6730011,127.4885512
충청북도 청주시 청원구 율량동 율봉로222번길,24.28,1000,36,단독다가구(전월세),36.6667217,127.4928874
충청북도 청주시 청원구 주성동 율량로138번길,45,1000,60,단독다가구(전월세),36.6709687,127.4983995
충청북도 청주시 청원구 오창읍 구룡리 구룡2길,45,300,41,단독다가구(전월세),36.7111939,127.4126339
충청북도 청주시 청원구 율량동 주성로96번길 12,30.33,300,35,아파트(전월세),36.6678639,127.4778458
충청북도 청주시 청원구 율량동 충청대로 149,76.485,2000,70,아파트(전월세),36.669366,127.4941936
충청북도 청주시 청원구 율량동 공항로150번길 59,29.08,500,35,아파트(전월세),36.6711448,127.4876628
충청북도 청주시 흥덕구 오송읍 오송리 가로수로,73.92,500,50,단독다가구(전월세),36.6114084,127.3278427
충청북도 청주시 흥덕구 봉명동 덕암로103번길,28.09,300,35,단독다가구(전월세),36.6508339,127.4642335
충청북도 청주시 흥덕구 봉명동 덕암로35번길,23,0,50,단독다가구(전월세),36.6556257,127.4581453
충청북도 청주시 흥덕구 오송읍 봉산리 봉산1길,27.2,300,50,단독다가구(전월세),36.6195184,127.3218386
충청북도 청주시 흥덕구 비하동 가로수로1131번길 11,84.986,40000,0,아파트(매매),36.6276007,127.4216191
충청북도 청주시 흥덕구 비하동 2순환로1050번길 39,59.9,15000,0,아파트(매매),36.639854,127.4193688
충청북도 청주시 흥덕구 비하동 2순환로 1106,74.3861,44900,0,아파트(매매),36.6343609,127.4200832
충청북도 청주시 흥덕구 복대동 대신로73번길 50,74.8923,42500,0,아파트(매매),36.6401796,127.4326001
충청북도 청주시 흥덕구 가경동 가경로 158,72.61,15900,0,아파트(매매),36.6291383,127.4372913
충청북도 청주시 흥덕구 복대동 대농로 55,80.002,68500,0,아파트(매매),36.6430295,127.4291934
충청북도 청주시 흥덕구 옥산면 가락리 오송가락로 1056,77.271,31700,0,아파트(매매),36.670489,127.3840508
충청북도 청주시 흥덕구 복대동 대신로74번길 21,84.627,42500,0,아파트(매매),36.6408751,127.4363435
충청북도 청주시 흥덕구 복대동 죽천로146번길 6,84.97,26000,0,아파트(매매),36.6372762,127.4380015
충청북도 청주시 흥덕구 오송읍 만수리 오송생명5로 201,84.91,30700,0,아파트(매매),36.6289276,127.3301681
충청북도 청주시 흥덕구 오송읍 연제리 오송생명3로 111,84.9636,36500,0,아파트(매매),36.6278036,127.3264449
충청북도 청주시 흥덕구 복대동 대신로73번길 14,99.693,44000,0,아파트(매매),36.6408664,127.4343667
충청북도 청주시 흥덕구 송절동 송화로108번길 111,84.9725,46000,0,아파트(매매),36.6672962,127.4553032
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.7397,38800,0,아파트(매매),36.6223386,127.3184637
충청북도 청주시 흥덕구 복대동 가로수로1379번길 83,22.68,3600,0,아파트(매매),36.6362146,127.442859
충청북도 청주시 흥덕구 복대동 증안로 21,59.3291,18300,0,아파트(매매),36.6376709,127.4248296
충청북도 청주시 흥덕구 복대동 대농로 45,84.691,56500,0,아파트(매매),36.6445295,127.4281209
충청북도 청주시 흥덕구 송절동 송화로108번길 111,84.9725,46500,0,아파트(매매),36.6672962,127.4553032
충청북도 청주시 흥덕구 강서동 서부로 1123,84.7993,60000,0,아파트(매매),36.6176842,127.4208609
충청북도 청주시 흥덕구 옥산면 가락리 가락길 60,59.9318,16500,0,아파트(전월세),36.6724167,127.3813497
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.98,28800,0,아파트(전월세),36.6223386,127.3184637
충청북도 청주시 흥덕구 복대동 복대로 220,84.96,35100,0,아파트(전월세),36.6360805,127.4410148
충청북도 청주시 흥덕구 복대동 대신로74번길 21,123.61,42000,0,아파트(전월세),36.6408751,127.4363435
