"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"764","충청북도 청주시 흥덕구 가경동","1***","12m미만","108.02","전세","202509","05","10,000","0","1997","풍년로120번길","202509~202709","신규","-","","","단독다가구"
"765","충청북도 청주시 흥덕구 오송읍 봉산리","8**","12m미만","31.97","월세","202509","05","500","62","2019","봉산3길","202509~202609","신규","-","","","단독다가구"
"766","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","20.15","월세","202509","05","300","50","2019","봉산1길","202509~202609","신규","-","","","단독다가구"
"767","충청북도 청주시 흥덕구 오송읍 봉산리","7**","12m미만","30.50","월세","202509","05","500","60","2021","오송생명12로","202509~202609","신규","-","","","단독다가구"
"768","충청북도 청주시 흥덕구 복대동","2***","12m미만","115.58","전세","202509","05","12,500","0","2000","증안로90번길","202510~202710","신규","-","","","단독다가구"
"769","충청북도 청주시 흥덕구 복대동","7*","8m미만","20.00","월세","202509","05","300","35","2015","월명로35번길","202509~202609","신규","-","","","단독다가구"
"770","충청북도 청주시 흥덕구 봉명동","7**","8m미만","25.00","월세","202509","05","300","30","2002","1순환로549번길","202509~202609","신규","-","","","단독다가구"
"771","충청북도 청주시 흥덕구 봉명동","2**","8m미만","26.44","월세","202509","05","150","40","2003","직지대로620번길","202509~202609","신규","-","","","단독다가구"
"772","충청북도 청주시 흥덕구 봉명동","2**","8m미만","72.56","월세","202509","05","1,000","60","1986","월명로60번길","202509~202709","신규","-","","","단독다가구"
"773","충청북도 청주시 흥덕구 봉명동","1***","8m미만","33.12","월세","202509","05","1,500","70","2023","백봉로220번길","202509~202609","신규","-","","","단독다가구"
"774","충청북도 청주시 흥덕구 복대동","2***","8m미만","42.98","월세","202509","04","300","28","","풍산로148번길","202509~202709","신규","-","","","단독다가구"
"775","충청북도 청주시 흥덕구 봉명동","2***","12m미만","60.00","월세","202509","04","500","61","2007","덕암로71번길","202509~202609","신규","-","","","단독다가구"
"776","충청북도 청주시 흥덕구 봉명동","2***","12m미만","60.00","월세","202509","04","500","61","2007","덕암로71번길","202509~202609","신규","-","","","단독다가구"
"777","충청북도 청주시 흥덕구 복대동","3***","25m미만","28.00","월세","202509","04","300","46","","대신로74번길","202509~202609","신규","-","","","단독다가구"
"778","충청북도 청주시 흥덕구 오송읍 만수리","6**","25m미만","41.00","월세","202509","04","250","70","2009","연제만수길","202509~202603","신규","-","","","단독다가구"
"779","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","39.00","월세","202509","04","500","60","2022","오송생명12로","202509~202709","신규","-","","","단독다가구"
"780","충청북도 청주시 흥덕구 오송읍 만수리","5**","25m미만","56.20","월세","202509","04","500","70","2010","연제만수길","202509~202609","신규","-","","","단독다가구"
"781","충청북도 청주시 흥덕구 복대동","2***","12m미만","49.58","월세","202509","04","300","65","2001","진재로47번길","202510~202601","갱신","-","300","60","단독다가구"
"782","충청북도 청주시 흥덕구 복대동","2***","12m미만","40.00","월세","202509","04","500","50","2002","증안로22번길","202509~202609","신규","-","","","단독다가구"
"783","충청북도 청주시 흥덕구 복대동","2***","12m미만","19.80","월세","202509","04","300","43","2000","진재로48번길","202509~202609","신규","-","","","단독다가구"
"784","충청북도 청주시 흥덕구 봉명동","2***","25m미만","42.42","월세","202509","04","1,000","60","2015","송절로76번길","202509~202609","신규","-","","","단독다가구"
"785","충청북도 청주시 흥덕구 봉명동","2***","25m미만","25.00","월세","202509","04","300","41","2016","덕암로17번길","202509~202609","신규","-","","","단독다가구"
"786","충청북도 청주시 흥덕구 비하동","3**","8m미만","28.00","월세","202509","04","300","30","2004","2순환로1050번길","202509~202609","신규","-","","","단독다가구"
"787","충청북도 청주시 흥덕구 오송읍 봉산리","8**","25m미만","24.53","월세","202509","04","300","62","2022","오송생명13로","202510~202610","갱신","-","300","55","단독다가구"
"788","충청북도 청주시 흥덕구 봉명동","2**","8m미만","40.00","월세","202509","03","500","63","1995","직지대로620번길","202509~202609","신규","-","","","단독다가구"
"789","충청북도 청주시 흥덕구 오송읍 봉산리","8**","12m미만","29.94","월세","202509","03","500","60","2021","봉산3길","202509~202609","신규","-","","","단독다가구"
"790","충청북도 청주시 흥덕구 봉명동","1***","12m미만","50.00","월세","202509","03","500","50","2005","천수로","202509~202609","신규","-","","","단독다가구"
"791","충청북도 청주시 흥덕구 봉명동","2***","12m미만","50.00","월세","202509","03","500","45","2006","덕암로97번길","202509~202609","신규","-","","","단독다가구"
"792","충청북도 청주시 흥덕구 오송읍 봉산리","7**","12m미만","41.20","월세","202509","03","3,000","45","2025","오송생명12로","202509~202609","신규","-","","","단독다가구"
"793","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","20.16","월세","202509","03","300","50","2020","봉산1길","202509~202609","신규","-","","","단독다가구"
"794","충청북도 청주시 흥덕구 가경동","1***","25m미만","62.00","월세","202509","03","500","30","1997","장구봉로","202509~202709","신규","-","","","단독다가구"
"795","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","33.11","월세","202509","03","500","60","2021","봉산2길","202509~202609","신규","-","","","단독다가구"
"796","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","21.84","월세","202509","03","1,000","55","2021","봉산1길","202509~202609","신규","-","","","단독다가구"
"797","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","33.00","월세","202509","03","500","60","2021","봉산2길","-","-","-","","","단독다가구"
"798","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","32.43","월세","202509","03","1,000","57","2021","봉산2길","202509~202609","신규","-","","","단독다가구"
"799","충청북도 청주시 흥덕구 비하동","3*","12m미만","23.14","월세","202509","03","300","45","2016","비하로15번길","202509~202609","신규","-","","","단독다가구"
"800","충청북도 청주시 흥덕구 복대동","2***","12m미만","57.00","월세","202509","03","300","40","1992","신율로111번길","202509~202609","신규","-","","","단독다가구"
"801","충청북도 청주시 흥덕구 봉명동","2***","25m미만","21.24","월세","202509","03","1,000","40","2021","월명로","202509~202609","신규","-","","","단독다가구"
"802","충청북도 청주시 흥덕구 복대동","8**","8m미만","25.00","월세","202509","03","300","36","2010","사직대로30번길","202509~202609","신규","-","","","단독다가구"
"803","충청북도 청주시 흥덕구 송절동","6**","12m미만","32.18","전세","202509","03","8,000","0","2020","송화로116번길","202510~202710","신규","-","","","단독다가구"
"804","충청북도 청주시 흥덕구 오송읍 연제리","8**","12m미만","30.00","월세","202509","03","300","40","2009","연제길","202509~202609","신규","-","","","단독다가구"
"805","충청북도 청주시 흥덕구 송절동","6**","12m미만","33.66","전세","202509","03","8,000","0","2020","송화로116번길","202510~202710","신규","-","","","단독다가구"
"806","충청북도 청주시 흥덕구 복대동","2***","12m미만","62.00","월세","202509","03","1,000","41","2001","짐대로46번길","202509~202609","신규","-","","","단독다가구"
"807","충청북도 청주시 흥덕구 복대동","2***","12m미만","52.80","월세","202509","03","200","50","1992","신율로90번길","202509~202603","신규","-","","","단독다가구"
"808","충청북도 청주시 흥덕구 복대동","3***","12m미만","28.00","전세","202509","03","6,000","0","2007","대신로67번길","202509~202709","신규","-","","","단독다가구"
"809","충청북도 청주시 흥덕구 복대동","1***","12m미만","129.60","월세","202509","03","2,000","120","2011","성봉로287번길","202509~202609","신규","-","","","단독다가구"
"810","충청북도 청주시 흥덕구 복대동","8**","8m미만","30.00","월세","202509","03","100","40","2006","월명로23번길","202509~202609","신규","-","","","단독다가구"
"811","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","21.84","월세","202509","03","1,000","55","2021","봉산1길","202509~202609","신규","-","","","단독다가구"
"812","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","21.00","월세","202509","03","1,000","55","2021","봉산1길","-","-","-","","","단독다가구"
"813","충청북도 청주시 흥덕구 송절동","7**","12m미만","32.00","월세","202509","02","1,000","60","","원터로","202509~202703","신규","-","","","단독다가구"
"814","충청북도 청주시 흥덕구 원평동","4**","8m미만","76.42","월세","202509","02","1,000","70","2022","원평로10번길","202509~202609","신규","-","","","단독다가구"
"815","충청북도 청주시 흥덕구 가경동","1***","12m미만","60.15","전세","202509","02","6,000","0","1997","풍년로79번길","202509~202709","신규","-","","","단독다가구"
"816","충청북도 청주시 흥덕구 가경동","1***","12m미만","60.15","전세","202509","02","6,000","0","1997","풍년로79번길","202510~202710","신규","-","","","단독다가구"
"817","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","19.08","월세","202509","02","300","45","2021","봉산1길","202509~202609","신규","-","","","단독다가구"
"818","충청북도 청주시 흥덕구 강서동","3*","12m미만","92.41","월세","202509","02","1,000","65","2013","가로수로1154번길","202509~202609","신규","-","","","단독다가구"
"819","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","42.54","월세","202509","02","1,000","73","2019","오송생명12로","202509~202609","신규","-","","","단독다가구"
"820","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","34.21","월세","202509","02","500","60","2022","오송생명7로","202509~202609","신규","-","","","단독다가구"
"821","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","33.35","월세","202509","02","300","55","2021","봉산2길","202509~202609","갱신","-","300","50","단독다가구"
"822","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","33.00","월세","202509","02","500","50","2021","봉산2길","202509~202709","갱신","-","0","50","단독다가구"
"823","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","109.70","전세","202509","02","21,500","0","","봉산2길","202509~202709","갱신","-","25,000","50","단독다가구"
"824","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","34.00","월세","202509","02","500","60","2022","오송생명7로","-","-","-","","","단독다가구"
"825","충청북도 청주시 흥덕구 비하동","6**","8m미만","19.38","월세","202509","02","200","45","2019","청향로24번길","202509~202603","신규","-","","","단독다가구"
"826","충청북도 청주시 흥덕구 비하동","7*","12m미만","60.00","전세","202509","02","8,000","0","2006","가로수로1132번길","202509~202709","신규","-","","","단독다가구"
"827","충청북도 청주시 흥덕구 복대동","1*","8m미만","35.00","월세","202509","02","200","25","","복대로199번길","202509~202709","신규","-","","","단독다가구"
"828","충청북도 청주시 흥덕구 복대동","8**","8m미만","26.00","월세","202509","02","300","30","2019","월명로5번길","202509~202609","신규","-","","","단독다가구"
"829","충청북도 청주시 흥덕구 오송읍 만수리","5**","12m미만","25.00","월세","202509","02","300","40","2013","만수길","202509~202609","신규","-","","","단독다가구"
"830","충청북도 청주시 흥덕구 봉명동","8**","12m미만","25.00","월세","202509","02","300","40","2016","봉명로205번길","202509~202609","신규","-","","","단독다가구"
"831","충청북도 청주시 흥덕구 봉명동","1**","12m미만","26.40","월세","202509","02","300","34","2018","1순환로594번길","202509~202609","신규","-","","","단독다가구"
"832","충청북도 청주시 흥덕구 봉명동","2***","12m미만","25.00","월세","202509","02","500","41","","월명로220번길","202509~202609","신규","-","","","단독다가구"
"833","충청북도 청주시 흥덕구 봉명동","2***","25m미만","49.80","월세","202509","02","1,000","57","2016","봉정로56번길","202509~202609","신규","-","","","단독다가구"
"834","충청북도 청주시 흥덕구 강내면 석화리","1**","8m미만","129.26","월세","202509","02","500","110","2016","석화사인길","202509~202609","신규","-","","","단독다가구"
"835","충청북도 청주시 흥덕구 강서동","2*","8m미만","133.75","전세","202509","01","20,000","0","2016","가로수로1164번길","202510~202710","신규","-","","","단독다가구"
"836","충청북도 청주시 흥덕구 가경동","1***","12m미만","45.00","월세","202509","01","500","43","2009","서현중로27번길","202509~202609","신규","-","","","단독다가구"
"837","충청북도 청주시 흥덕구 봉명동","8**","12m미만","20.00","월세","202509","01","500","60","2023","봉명로191번길","202509~202608","신규","-","","","단독다가구"
"838","충청북도 청주시 흥덕구 봉명동","2***","12m미만","33.00","월세","202509","01","300","56","2020","덕암로6번길","202509~202609","신규","-","","","단독다가구"
"839","충청북도 청주시 흥덕구 봉명동","2**","12m미만","22.00","월세","202509","01","300","40","2020","봉명로150번길","202509~202609","신규","-","","","단독다가구"
"840","충청북도 청주시 흥덕구 복대동","3*","8m미만","32.00","전세","202509","01","5,500","0","2016","복대로190번길","-","-","-","","","단독다가구"
"841","충청북도 청주시 흥덕구 오송읍 연제리","8**","25m이상","16.50","월세","202509","01","50","45","2012","오송생명3로","202509~202512","신규","-","","","단독다가구"
"842","충청북도 청주시 흥덕구 송절동","7**","12m미만","23.10","월세","202509","01","300","55","2018","송화로166번길","202509~202609","신규","-","","","단독다가구"
"843","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","31.00","월세","202509","01","500","53","2019","봉산1길","202509~202609","신규","-","","","단독다가구"
"844","충청북도 청주시 흥덕구 비하동","7**","12m미만","104.79","전세","202509","01","12,000","0","2001","비하로52번길","202509~202709","신규","-","","","단독다가구"
"845","충청북도 청주시 흥덕구 오송읍 봉산리","9**","12m미만","21.01","월세","202509","01","300","50","2020","봉산3길","202509~202608","신규","-","","","단독다가구"
"846","충청북도 청주시 흥덕구 오송읍 봉산리","9**","12m미만","39.00","월세","202509","01","500","52","2021","봉산3길","202509~202609","신규","-","","","단독다가구"
"847","충청북도 청주시 흥덕구 가경동","1***","12m미만","38.21","월세","202509","01","500","50","2017","풍년로108번길","202509~202709","신규","-","","","단독다가구"
"848","충청북도 청주시 흥덕구 송절동","6**","12m미만","20.00","월세","202509","01","300","60","2018","송화로116번길","202509~202608","신규","-","","","단독다가구"
"849","충청북도 청주시 흥덕구 가경동","1***","12m미만","185.00","전세","202508","31","11,000","0","1997","풍년로111번길","202508~202708","갱신","-","13,000","0","단독다가구"
"850","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","32.11","월세","202508","31","500","53","2022","봉산2길","202509~202608","신규","-","","","단독다가구"
"851","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","28.17","월세","202508","31","500","52","2022","오송생명7로","202510~202610","신규","-","","","단독다가구"
"852","충청북도 청주시 흥덕구 오송읍 봉산리","7**","25m미만","37.26","월세","202508","31","500","55","2024","오송생명12로","202508~202608","신규","-","","","단독다가구"
"853","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","19.00","월세","202508","31","300","50","2021","봉산1길","-","-","-","","","단독다가구"
"854","충청북도 청주시 흥덕구 봉명동","2**","25m미만","26.44","월세","202508","31","100","30","2008","봉명로","202508~202608","신규","-","","","단독다가구"
"855","충청북도 청주시 흥덕구 복대동","2***","12m미만","25.45","월세","202508","31","200","30","2002","짐대로46번길","202508~202608","신규","-","","","단독다가구"
"856","충청북도 청주시 흥덕구 복대동","8**","8m미만","25.00","월세","202508","31","500","36","2017","봉명로90번길","202508~202608","신규","-","","","단독다가구"
"857","충청북도 청주시 흥덕구 비하동","3*","12m미만","57.85","월세","202508","31","1,000","50","2002","비하로15번길","202509~202709","신규","-","","","단독다가구"
"858","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","23.86","월세","202508","31","300","50","2020","봉산2길","202509~202609","신규","-","","","단독다가구"
"859","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","19.05","월세","202508","31","300","50","2021","봉산1길","202508~202608","신규","-","","","단독다가구"
"860","충청북도 청주시 흥덕구 복대동","1***","25m미만","173.27","월세","202508","30","300","130","1990","신율로","202509~202511","신규","-","","","단독다가구"
"861","충청북도 청주시 흥덕구 오송읍 만수리","8**","12m미만","25.00","월세","202508","30","2,000","15","2010","만수1길","-","-","-","","","단독다가구"
"862","충청북도 청주시 흥덕구 오송읍 만수리","6**","12m미만","52.93","월세","202508","30","500","55","2010","만수1길","202509~202609","신규","-","","","단독다가구"
"863","충청북도 청주시 흥덕구 비하동","1**","12m미만","43.31","월세","202508","30","2,000","80","2022","비하로35번길","202509~202609","신규","-","","","단독다가구"
"864","충청북도 청주시 흥덕구 봉명동","2**","8m미만","40.00","월세","202508","30","1,000","50","2015","직지대로620번길","202510~202710","신규","-","","","단독다가구"
"865","충청북도 청주시 흥덕구 봉명동","6**","8m미만","39.67","월세","202508","30","400","45","2014","직지대로653번길","202509~202609","신규","-","","","단독다가구"
"866","충청북도 청주시 흥덕구 봉명동","2**","8m미만","27.00","전세","202508","30","5,000","0","2007","봉명로90번길","-","-","-","","","단독다가구"
"867","충청북도 청주시 흥덕구 강내면 월탄리","4*","8m미만","42.98","월세","202508","30","500","55","2013","월탄3길","202508~202608","신규","-","","","단독다가구"
"868","충청북도 청주시 흥덕구 가경동","4**","25m미만","55.00","월세","202508","30","4,000","30","2001","풍산로48번길","-","-","-","","","단독다가구"
"869","충청북도 청주시 흥덕구 가경동","1***","12m미만","33.00","월세","202508","30","1,000","15","2005","서경로28번길","202509~202709","신규","-","","","단독다가구"
"870","충청북도 청주시 흥덕구 복대동","1*","8m미만","20.00","월세","202508","30","100","30","2002","복대로209번길","202509~202608","신규","-","","","단독다가구"
"871","충청북도 청주시 흥덕구 복대동","1*","8m미만","33.00","월세","202508","30","200","30","2009","복대로199번길","-","-","-","","","단독다가구"
"872","충청북도 청주시 흥덕구 복대동","2***","12m미만","20.00","월세","202508","30","300","38","2021","신율로118번길","202508~202608","신규","-","","","단독다가구"
"873","충청북도 청주시 흥덕구 송절동","7**","12m미만","20.00","월세","202508","30","300","50","2018","송화로150번길","202509~202609","신규","-","","","단독다가구"
"874","충청북도 청주시 흥덕구 봉명동","2***","12m미만","30.00","월세","202508","29","200","35","2009","덕암로12번길","202509~202603","갱신","-","200","35","단독다가구"
"875","충청북도 청주시 흥덕구 오송읍 만수리","6**","12m미만","25.99","월세","202508","29","300","35","2010","만수길","202509~202701","신규","-","","","단독다가구"
"876","충청북도 청주시 흥덕구 오송읍 만수리","5**","12m미만","130.54","월세","202508","29","500","65","","만수길","202509~202708","갱신","-","500","50","단독다가구"
"877","충청북도 청주시 흥덕구 비하동","6**","12m미만","49.97","월세","202508","29","1,000","60","2018","청향로","202508~202608","신규","-","","","단독다가구"
"878","충청북도 청주시 흥덕구 오송읍 연제리","8**","12m미만","30.00","월세","202508","29","300","38","2013","연제길","202508~202608","신규","-","","","단독다가구"
"879","충청북도 청주시 흥덕구 복대동","1***","12m미만","26.44","월세","202508","29","300","36","2017","가로수로1362번길","202508~202608","신규","-","","","단독다가구"
"880","충청북도 청주시 흥덕구 복대동","5*","8m미만","148.91","전세","202508","29","15,000","0","2011","사직대로11번길","202509~202709","신규","-","","","단독다가구"
"881","충청북도 청주시 흥덕구 봉명동","6**","8m미만","49.00","월세","202508","29","500","54","2014","직지대로653번길","202509~202609","신규","-","","","단독다가구"
"882","충청북도 청주시 흥덕구 봉명동","2***","8m미만","33.00","월세","202508","29","600","35","1993","봉정로66번길","202509~202709","신규","-","","","단독다가구"
"883","충청북도 청주시 흥덕구 봉명동","2***","25m미만","30.00","월세","202508","29","500","50","2022","덕암로47번길","202509~202609","갱신","-","500","50","단독다가구"
"884","충청북도 청주시 흥덕구 봉명동","2***","25m미만","45.00","월세","202508","29","500","60","","덕암로47번길","202509~202603","갱신","-","500","60","단독다가구"
"885","충청북도 청주시 흥덕구 봉명동","2***","12m미만","99.52","전세","202508","29","10,000","0","2003","덕암로59번길","202510~202710","신규","-","","","단독다가구"
"886","충청북도 청주시 흥덕구 송절동","6**","12m미만","50.00","월세","202508","29","500","70","2019","송화로116번길","202510~202603","갱신","-","500","70","단독다가구"
"887","충청북도 청주시 흥덕구 송절동","6**","12m미만","19.80","월세","202508","29","3,000","30","2018","송화로116번길","202508~202608","신규","-","","","단독다가구"
"888","충청북도 청주시 흥덕구 복대동","1***","8m미만","26.00","월세","202508","29","200","30","2008","성봉로279번길","202509~202609","신규","-","","","단독다가구"
"889","충청북도 청주시 흥덕구 복대동","8**","8m미만","25.00","월세","202508","29","500","47","2024","충대로14번길","202508~202608","신규","-","","","단독다가구"
"890","충청북도 청주시 흥덕구 복대동","2***","12m미만","27.39","월세","202508","29","200","38","","진재로31번길","202508~202608","신규","-","","","단독다가구"
"891","충청북도 청주시 흥덕구 오송읍 봉산리","7**","12m미만","31.18","월세","202508","29","300","63","2021","오송생명12로","202509~202608","신규","-","","","단독다가구"
"892","충청북도 청주시 흥덕구 오송읍 봉산리","9**","12m미만","39.00","월세","202508","28","500","60","2023","봉산3길","202509~202608","신규","-","","","단독다가구"
"893","충청북도 청주시 흥덕구 오송읍 만수리","5**","12m미만","23.00","월세","202508","28","300","31","2009","만수길","202509~202609","신규","-","","","단독다가구"
"894","충청북도 청주시 흥덕구 오송읍 만수리","7**","12m미만","23.00","월세","202508","28","300","30","2012","만수1길","202509~202609","신규","-","","","단독다가구"
"895","충청북도 청주시 흥덕구 복대동","3***","12m미만","28.00","월세","202508","28","300","42","2011","죽천로131번길","202508~202608","신규","-","","","단독다가구"
"896","충청북도 청주시 흥덕구 봉명동","9**","8m미만","45.00","월세","202508","28","1,500","61","2014","1순환로585번길","202508~202608","신규","-","","","단독다가구"
"897","충청북도 청주시 흥덕구 봉명동","2***","25m미만","30.00","월세","202508","28","200","40","2013","월명로220번길","202508~202608","신규","-","","","단독다가구"
"898","충청북도 청주시 흥덕구 복대동","1***","8m미만","59.58","월세","202508","28","500","55","","복대로158번길","202510~202710","신규","-","","","단독다가구"
"899","충청북도 청주시 흥덕구 가경동","1***","12m미만","36.00","월세","202508","28","300","40","2011","서현서로29번길","202509~202609","신규","-","","","단독다가구"
"900","충청북도 청주시 흥덕구 봉명동","1***","12m미만","43.00","월세","202508","28","500","50","1994","봉정로66번길","202508~202608","신규","-","","","단독다가구"
"901","충청북도 청주시 흥덕구 봉명동","2***","12m미만","49.60","월세","202508","28","1,000","70","2017","덕암로114번길","202508~202608","신규","-","","","단독다가구"
"902","충청북도 청주시 흥덕구 비하동","2**","12m미만","18.00","전세","202508","28","7,000","0","2025","2순환로1136번길","-","-","-","","","단독다가구"
"903","충청북도 청주시 흥덕구 비하동","3*","25m미만","105.60","월세","202508","28","1,000","85","2015","비하로","202509~202709","신규","-","","","단독다가구"
"904","충청북도 청주시 흥덕구 송절동","7**","12m미만","45.00","월세","202508","28","1,000","90","2017","원터로","202509~202709","신규","-","","","단독다가구"
"905","충청북도 청주시 흥덕구 송절동","7**","12m미만","24.99","월세","202508","28","300","50","2019","송화로166번길","202509~202609","신규","-","","","단독다가구"
"906","충청북도 청주시 흥덕구 복대동","5*","8m미만","34.21","월세","202508","28","500","52","2010","복대로163번길","202508~202608","신규","-","","","단독다가구"
"907","충청북도 청주시 흥덕구 복대동","2***","12m미만","24.61","월세","202508","28","350","45","2001","진재로28번길","202508~202608","신규","-","","","단독다가구"
"908","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","20.44","월세","202508","28","500","75","2020","봉산2길","202508~202608","신규","-","","","단독다가구"
"909","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","25.50","월세","202508","28","300","40","2020","봉산1길","202508~202608","신규","-","","","단독다가구"
"910","충청북도 청주시 흥덕구 오송읍 봉산리","9**","12m미만","25.64","월세","202508","28","300","50","2023","봉산3길","202508~202604","신규","-","","","단독다가구"
"911","충청북도 청주시 흥덕구 봉명동","2***","12m미만","59.16","전세","202508","27","13,000","0","2025","덕암로6번길","202509~202709","신규","-","","","단독다가구"
"912","충청북도 청주시 흥덕구 송절동","6**","12m미만","19.63","월세","202508","27","300","55","","송화로116번길","202509~202511","신규","-","","","단독다가구"
"913","충청북도 청주시 흥덕구 봉명동","2**","8m미만","173.78","월세","202508","27","30","30","","봉명로131번길","202508~202608","신규","-","","","단독다가구"
"914","충청북도 청주시 흥덕구 복대동","2***","12m미만","50.00","전세","202508","27","7,000","0","2001","진재로31번길","202508~202708","신규","-","","","단독다가구"
"915","충청북도 청주시 흥덕구 복대동","2***","12m미만","110.08","월세","202508","27","3,000","95","2001","증안로22번길","202509~202709","신규","-","","","단독다가구"
"916","충청북도 청주시 흥덕구 복대동","3***","12m미만","22.00","월세","202508","27","200","35","2007","진재로103번길","202508~202608","신규","-","","","단독다가구"
"917","충청북도 청주시 흥덕구 봉명동","2***","12m미만","39.00","전세","202508","27","4,000","0","2009","덕암로59번길","202509~202709","신규","-","","","단독다가구"
"918","충청북도 청주시 흥덕구 봉명동","2***","12m미만","42.97","월세","202508","27","1,000","71","2014","월명로220번길","202509~202608","신규","-","","","단독다가구"
"919","충청북도 청주시 흥덕구 오송읍 봉산리","1***","25m미만","33.02","월세","202508","27","2,000","80","2023","봉산2길","202509~202609","신규","-","","","단독다가구"
"920","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","22.22","월세","202508","27","300","50","2021","봉산1길","202509~202609","신규","-","","","단독다가구"
"921","충청북도 청주시 흥덕구 오송읍 만수리","8**","12m미만","26.40","월세","202508","27","300","40","2011","만수1길","202508~202608","신규","-","","","단독다가구"
"922","충청북도 청주시 흥덕구 강서동","5*","12m미만","50.00","월세","202508","27","1,000","60","2016","가로수로1154번길","202509~202609","신규","-","","","단독다가구"
"923","충청북도 청주시 흥덕구 봉명동","2***","12m미만","26.40","월세","202508","27","500","55","2017","덕암로41번길","202510~202609","신규","-","","","단독다가구"
"924","충청북도 청주시 흥덕구 봉명동","2***","12m미만","29.75","월세","202508","27","500","55","2018","덕암로35번길","202509~202609","신규","-","","","단독다가구"
"925","충청북도 청주시 흥덕구 복대동","2***","12m미만","39.30","월세","202508","26","500","56","2001","증안로34번길","202508~202608","신규","-","","","단독다가구"
"926","충청북도 청주시 흥덕구 봉명동","1***","8m미만","81.00","월세","202508","26","500","55","1985","천석로36번길","202509~202709","신규","-","","","단독다가구"
"927","충청북도 청주시 흥덕구 복대동","2***","8m미만","37.30","월세","202508","26","200","40","1992","풍산로156번길","202508~202608","신규","-","","","단독다가구"
"928","충청북도 청주시 흥덕구 가경동","1***","12m미만","20.00","월세","202508","26","100","25","","풍년로112번길","202508~202608","신규","-","","","단독다가구"
"929","충청북도 청주시 흥덕구 가경동","1***","12m미만","51.00","월세","202508","26","200","45","1999","풍년로85번길","202508~202602","신규","-","","","단독다가구"
"930","충청북도 청주시 흥덕구 오송읍 만수리","7**","12m미만","24.00","월세","202508","26","300","35","2011","만수1길","-","-","-","","","단독다가구"
"931","충청북도 청주시 흥덕구 오송읍 만수리","7**","25m미만","40.00","월세","202508","26","300","50","2013","연제만수길","202509~202609","신규","-","","","단독다가구"
"932","충청북도 청주시 흥덕구 복대동","1***","8m미만","42.00","월세","202508","26","500","41","2017","성봉로279번길","202508~202608","신규","-","","","단독다가구"
"933","충청북도 청주시 흥덕구 복대동","3***","12m미만","30.00","월세","202508","26","300","45","2007","대신로67번길","202509~202609","신규","-","","","단독다가구"
"934","충청북도 청주시 흥덕구 신봉동","2*","25m미만","57.17","월세","202508","26","794","13","2021","1순환로394번길","202508~202712","신규","-","","","단독다가구"
