□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(매매),,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,
시군구 : 청주시 서원구,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,
NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
3,충청북도 청주시 서원구 남이면 석판리,2*,단독,8m미만,233.16,650,202510,31,"49,100",개인,법인,2011,대림로,-,직거래,-
4,충청북도 청주시 서원구 모충동,5**,단독,8m미만,64.9,153,202510,30,"10,500",개인,개인,1979,호국로3번길,-,중개거래,충북 청주시 서원구
5,충청북도 청주시 서원구 분평동,3**,단독,8m미만,126.19,658,202510,23,"110,000",법인,개인,1982,청남로1945번길,-,중개거래,충북 청주시 서원구
6,충청북도 청주시 서원구 모충동,8*,단독,12m미만,110.09,203,202510,23,"21,000",개인,개인,1979,구룡산로431번길,-,중개거래,충북 청주시 서원구
7,충청북도 청주시 서원구 모충동,4**,단독,8m미만,61.34,152,202510,23,"6,500",개인,개인,1971,모충로117번길,-,직거래,-
8,충청북도 청주시 서원구 분평동,3**,단독,8m미만,148.71,600,202510,23,"109,000",법인,개인,2012,청남로1945번길,-,중개거래,충북 청주시 서원구
9,충청북도 청주시 서원구 모충동,5**,단독,8m미만,49.94,194,202510,21,"14,600",개인,개인,2009,호국로3번길,-,중개거래,충북 청주시 서원구
10,충청북도 청주시 서원구 남이면 갈원리,1**,단독,8m미만,133.65,466,202510,20,"26,000",개인,개인,2022,갈원상발길,-,직거래,-
11,충청북도 청주시 서원구 산남동,9**,다가구,12m미만,345.85,230.3,202510,16,"54,000",개인,개인,2011,두꺼비로20번길,-,중개거래,충북 청주시 서원구
12,충청북도 청주시 서원구 사직동,6**,단독,8m미만,53.09,126,202510,16,"5,000",개인,개인,1973,모충로121번길,-,중개거래,충북 청주시 서원구
13,충청북도 청주시 서원구 산남동,1***,다가구,12m미만,422.22,223.7,202510,15,"100,161",공공기관,법인,2025,두꺼비로19번길,-,직거래,-
14,충청북도 청주시 서원구 사창동,2**,단독,8m미만,192.17,175.3,202510,15,"10,000",개인,개인,1991,사직대로157번길,-,중개거래,충북 청주시 서원구
15,충청북도 청주시 서원구 수곡동,7*,단독,12m미만,76.34,192.4,202510,15,"23,000",개인,개인,1976,청남로2022번길,-,중개거래,충북 청주시 서원구
16,충청북도 청주시 서원구 장암동,1**,단독,8m미만,99.18,391,202510,15,"29,000",개인,개인,1992,가장로332번길,-,직거래,-
17,충청북도 청주시 서원구 모충동,1**,단독,25m이상,598.59,180.5,202510,14,"53,000",개인,개인,1995,청남로2122번길,-,중개거래,충북 청주시 서원구
18,충청북도 청주시 서원구 모충동,1**,단독,8m미만,102.57,115.4,202510,13,"10,000",개인,개인,1994,구룡산로337번길,-,중개거래,충북 청주시 서원구
19,충청북도 청주시 서원구 사창동,2**,다가구,12m미만,295.31,173,202510,10,"36,000",개인,개인,2003,사직대로185번길,-,중개거래,충북 청주시 서원구
20,충청북도 청주시 서원구 성화동,5**,단독,12m미만,388.22,237,202510,1,"58,000",개인,개인,2012,신성화로46번길,-,중개거래,충북 청주시 서원구
21,충청북도 청주시 서원구 산남동,4**,다가구,12m미만,298.18,196.1,202509,26,"56,000",개인,개인,2009,원흥로80번길,-,중개거래,충북 청주시 서원구
22,충청북도 청주시 서원구 사직동,5**,단독,25m미만,82.35,165,202509,23,"17,000",개인,개인,1900,호국로,-,직거래,-
23,충청북도 청주시 서원구 산남동,1***,단독,12m미만,358.15,208.7,202509,23,"58,000",개인,개인,2009,탑골로47번길,-,중개거래,충북 청주시 서원구
24,충청북도 청주시 서원구 모충동,9*,단독,8m미만,119.76,176.5,202509,22,"16,000",법인,개인,1979,청남로2142번길,-,직거래,-
25,충청북도 청주시 서원구 모충동,9*,단독,8m미만,118.77,148.2,202509,22,"14,000",법인,개인,1979,청남로2142번길,-,직거래,-
26,충청북도 청주시 서원구 수곡동,8*,단독,8m미만,68.77,143.1,202509,20,"7,000",개인,개인,1900,서원남로19번길,-,중개거래,충북 청주시 서원구
27,충청북도 청주시 서원구 수곡동,8*,단독,8m미만,73.98,164.3,202509,20,"14,000",개인,개인,1977,서원남로19번길,-,중개거래,충북 청주시 서원구
28,충청북도 청주시 서원구 성화동,1***,다가구,8m미만,384,192.9,202509,16,"56,500",개인,개인,2012,용호로39번길,-,중개거래,충북 청주시 서원구
29,충청북도 청주시 서원구 모충동,1**,단독,12m미만,291.16,164.6,202509,16,"47,500",개인,개인,1996,구룡산로371번길,-,중개거래,"충북 청주시 서원구, 충북 청주시 청원구"
30,충청북도 청주시 서원구 수곡동,9*,단독,8m미만,93.42,105.9,202509,9,"19,860",개인,개인,2011,구룡산로358번길,-,중개거래,충북 청주시 서원구
31,충청북도 청주시 서원구 남이면 구미리,1**,단독,8m미만,105.02,404,202509,8,"8,000",개인,개인,1957,구미1길,-,직거래,-
