"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"28","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","27.7517","202510","31","8,144","0","5","2023","직지대로 551","202512~202712","갱신","-","8,240","0","아파트"
"29","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","27.7517","202510","31","8,144","0","12","2023","직지대로 551","202512~202712","갱신","-","8,240","0","아파트"
"30","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","전세","59.8447","202510","31","27,500","0","18","2023","오송생명7로 151","202602~202802","신규","-","","","아파트"
"31","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","21.0286","202510","31","6,320","0","6","2023","직지대로 551","202512~202712","갱신","-","6,320","0","아파트"
"32","충청북도 청주시 흥덕구 오송읍 봉산리","1531","1531","0000","오송역대광로제비앙그랜드센텀","전세","84.9924","202510","31","25,500","0","9","2024","오송생명14로 283","202510~202710","신규","-","","","아파트"
"33","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","21.0286","202510","31","6,320","0","3","2023","직지대로 551","202511~202711","갱신","-","6,320","0","아파트"
"34","충청북도 청주시 흥덕구 복대동","3381","3381","0000","두산위브지웰시티2차","월세","80.0020","202510","31","2,000","200","6","2015","대농로 55","202601~202801","신규","-","","","아파트"
"35","충청북도 청주시 흥덕구 오송읍 만수리","549","0549","0000","오송경남아너스빌","전세","84.9100","202510","30","21,000","0","6","2009","오송생명5로 201","-","-","-","","","아파트"
"36","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","월세","59.9800","202510","30","2,000","85","5","2023","오송생명7로 151","202510~202710","신규","-","","","아파트"
"37","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","전세","59.9822","202510","30","28,000","0","23","2023","오송생명7로 151","202512~202712","신규","-","","","아파트"
"38","충청북도 청주시 흥덕구 오송읍 봉산리","1530","1530","0000","오송역서한이다음노블리스","전세","134.4924","202510","30","39,000","0","23","2025","오송생명14로 217","202512~202712","신규","-","","","아파트"
"39","충청북도 청주시 흥덕구 복대동","3029","3029","0000","현대2","전세","60.0000","202510","30","17,000","0","3","2000","증안로 77","202510~202710","갱신","사용","17,000","0","아파트"
"40","충청북도 청주시 흥덕구 송절동","851","0851","0000","청주테크노폴리스푸르지오","월세","84.9950","202510","30","26,000","30","16","2018","송화로214번길 7","202602~202702","갱신","사용","26,000","0","아파트"
"41","충청북도 청주시 흥덕구 송절동","1196","1196","0000","청주테크노폴리스힐데스하임","전세","84.9900","202510","30","34,000","0","7","2025","송화로 115","202512~202707","신규","-","","","아파트"
"42","충청북도 청주시 흥덕구 봉명동","1833","1833","0000","봉명베리굿2차","전세","41.5752","202510","30","13,000","0","6","2023","직지대로 605","202512~202712","신규","-","","","아파트"
"43","충청북도 청주시 흥덕구 비하동","300","0300","0000","효성아파트","전세","45.3200","202510","30","9,900","0","3","1995","2순환로1050번길 13-14","202602~202802","신규","-","","","아파트"
"44","충청북도 청주시 흥덕구 오송읍 만수리","549","0549","0000","오송경남아너스빌","전세","84.9100","202510","30","21,000","0","6","2009","오송생명5로 201","202512~202712","갱신","사용","20,000","0","아파트"
"45","충청북도 청주시 흥덕구 가경동","1581","1581","0000","가경주공7단지","전세","75.2200","202510","30","24,000","0","7","2005","풍년로 40","202512~202712","신규","-","","","아파트"
"46","충청북도 청주시 흥덕구 가경동","1761","1761","0000","가로수마을한라비발디","전세","84.9770","202510","30","33,000","0","4","2008","서현서로 40","202601~202801","신규","-","","","아파트"
"47","충청북도 청주시 흥덕구 가경동","1514","1514","0000","삼일원앙","전세","59.8500","202510","30","13,500","0","14","1997","가경로 100-20","202512~202712","신규","-","","","아파트"
"48","충청북도 청주시 흥덕구 강서동","467","0467","0000","주산휴네스트","월세","33.4200","202510","29","500","50","5","2013","강서로 101","202511~202611","신규","-","","","아파트"
"49","충청북도 청주시 흥덕구 봉명동","1857","1857","0000","극동주얼리","월세","59.6700","202510","29","1,000","60","4","1991","월명로 114","202511~202711","신규","-","","","아파트"
"50","충청북도 청주시 흥덕구 가경동","1549","1549","0000","가경주공","월세","51.4900","202510","29","3,509","10","3","2002","경신로 9","202512~202711","갱신","-","3,418","9","아파트"
"51","충청북도 청주시 흥덕구 가경동","1190","1190","0000","세원2차","전세","59.9400","202510","29","11,000","0","1","1992","풍산로89번길 31","202511~202711","신규","-","","","아파트"
"52","충청북도 청주시 흥덕구 복대동","2459","2459","0000","두진하트리움","월세","59.9238","202510","29","2,000","80","6","1999","증안로 33","202511~202711","신규","-","","","아파트"
"53","충청북도 청주시 흥덕구 오송읍 봉산리","1531","1531","0000","오송역대광로제비앙그랜드센텀","전세","84.9924","202510","29","25,500","0","6","2024","오송생명14로 283","202510~202710","신규","-","","","아파트"
"54","충청북도 청주시 흥덕구 문암동","213","0213","0000","청주테크노폴리스신영지웰푸르지오","전세","84.9664","202510","29","40,000","0","18","2022","송화로 229","202601~202801","신규","-","","","아파트"
"55","충청북도 청주시 흥덕구 오송읍 봉산리","1510","1510","0000","오송역대광로제비앙","전세","59.9406","202510","29","15,270","0","11","2023","오송생명8로 178","202510~202710","신규","-","","","아파트"
"56","충청북도 청주시 흥덕구 오송읍 봉산리","1510","1510","0000","오송역대광로제비앙","전세","59.9406","202510","29","15,270","0","3","2023","오송생명8로 178","202510~202710","신규","-","","","아파트"
"57","충청북도 청주시 흥덕구 문암동","213","0213","0000","청주테크노폴리스신영지웰푸르지오","전세","59.9721","202510","29","31,000","0","2","2022","송화로 229","202512~202712","신규","-","","","아파트"
"58","충청북도 청주시 흥덕구 강서동","498","0498","0000","경도펠리스","월세","27.5400","202510","28","1,000","35","14","2016","서현동로 21","202510~202610","신규","-","","","아파트"
"59","충청북도 청주시 흥덕구 오송읍 봉산리","1531","1531","0000","오송역대광로제비앙그랜드센텀","전세","84.9140","202510","28","25,500","0","23","2024","오송생명14로 283","202510~202710","신규","-","","","아파트"
"60","충청북도 청주시 흥덕구 송절동","842","0842","0000","청주테크노폴리스우방아이유쉘1단지","전세","84.9725","202510","28","30,500","0","24","2018","송화로184번길 7","202511~202711","신규","-","","","아파트"
"61","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","전세","59.9822","202510","28","21,000","0","22","2023","오송생명7로 151","202511~202711","갱신","사용","20,000","0","아파트"
"62","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","월세","21.6256","202510","28","500","60","9","2023","직지대로 551","202511~202611","신규","-","","","아파트"
"63","충청북도 청주시 흥덕구 강서동","470","0470","0000","나보나시티","월세","29.8600","202510","28","1,000","70","13","2021","가로수로1164번길 41-28","202511~202611","신규","-","","","아파트"
"64","충청북도 청주시 흥덕구 복대동","169-1","0169","0001","현대","월세","65.8800","202510","28","1,000","30","2","1986","내수동로12번길 5","202510~202710","신규","-","","","아파트"
"65","충청북도 청주시 흥덕구 오송읍 연제리","736","0736","0000","오송호반베르디움","월세","84.8873","202510","28","3,000","100","7","2010","오송생명3로 111","202511~202710","신규","-","","","아파트"
"66","충청북도 청주시 흥덕구 오송읍 봉산리","1510","1510","0000","오송역대광로제비앙","전세","59.8769","202510","27","15,270","0","9","2023","오송생명8로 178","202510~202710","신규","-","","","아파트"
"67","충청북도 청주시 흥덕구 복대동","2456","2456","0000","아름다운나날영조1","전세","59.3291","202510","27","18,000","0","9","2003","증안로 21","202510~202710","갱신","-","17,100","0","아파트"
"68","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주강서동광모닝스카이","월세","27.6300","202510","27","1,000","60","18","2016","가로수로1164번길 41-33","202511~202611","신규","-","","","아파트"
"69","충청북도 청주시 흥덕구 강서동","466","0466","0000","미소랑","전세","34.1700","202510","27","7,200","0","9","2014","가로수로1164번길 41-8","202512~202711","신규","-","","","아파트"
"70","충청북도 청주시 흥덕구 신봉동","529","0529","0000","한성","전세","50.8600","202510","27","5,000","0","5","1988","1순환로 451","202601~202801","신규","-","","","아파트"
"71","충청북도 청주시 흥덕구 문암동","213","0213","0000","청주테크노폴리스신영지웰푸르지오","전세","59.9721","202510","27","32,000","0","12","2022","송화로 229","202512~202712","신규","-","","","아파트"
"72","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","27.7517","202510","27","8,144","0","15","2023","직지대로 551","202512~202712","갱신","-","8,240","0","아파트"
"73","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","21.0286","202510","27","6,320","0","6","2023","직지대로 551","202512~202712","갱신","-","6,320","0","아파트"
"74","충청북도 청주시 흥덕구 봉명동","1857-1","1857","0001","리치먼드시티","전세","21.0286","202510","27","6,320","0","9","2023","직지대로 551","202512~202712","갱신","-","6,320","0","아파트"
