No,지역,지역,지역,2015년 7월,2015년 8월,2015년 9월,2015년 10월,2015년 11월,2015년 12월,2016년 1월,2016년 2월,2016년 3월,2016년 4월,2016년 5월,2016년 6월,2016년 7월,2016년 8월,2016년 9월,2016년 10월,2016년 11월,2016년 12월,2017년 1월,2017년 2월,2017년 3월,2017년 4월,2017년 5월,2017년 6월,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
No,지역,지역,지역,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격
No,지역,지역,지역,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원
1,충북,청주시,청주시,428,429,428,429,431,432,433,437,439,449,455,456,465,466,479,481,481,480,480,481,482,486,486,491,495,501,502,502,502,556,556,556,555,556,555,554,554,554,554,553,553,553,551,550,550,549,548,547,547,545,545,545,545,545,552,552,552,551,551,552,552,552,554,555,554,556,556,556,557,557,558,558,614,616,619,621,623,625,627,629,632,635,638,640,645,646,649,650,652,653,653,653,653,655,657,659,659,660,661,664,667,669,676,679,680,680,681,682,681,681,681,682,682,683,684,686,688,703,706,708,709,709,711
2,충북,청주시,상당구,247,247,248,248,250,251,252,251,252,252,252,251,251,251,251,257,258,258,261,265,271,288,291,315,338,378,381,381,382,529,529,529,524,523,522,519,519,519,519,517,517,517,542,542,542,541,541,540,539,537,537,537,537,537,558,558,558,554,554,555,556,556,556,556,556,556,556,556,556,556,557,557,569,574,579,582,584,585,590,592,594,595,596,598,602,602,603,605,605,600,597,599,600,603,606,608,610,610,613,614,615,616,631,632,633,634,635,636,636,637,638,638,639,640,640,642,643,672,674,675,675,676,678
3,충북,청주시,서원구,478,478,478,478,479,480,481,483,486,493,502,507,509,511,511,516,517,517,517,517,517,517,517,517,516,514,514,515,515,586,586,586,586,588,586,586,586,585,585,585,585,585,538,538,538,538,538,538,536,534,533,533,533,533,533,534,534,534,535,537,537,537,537,537,537,537,538,538,538,538,538,539,554,558,557,559,561,561,562,564,566,568,570,573,576,579,582,585,590,591,601,600,600,603,604,605,605,606,606,607,608,610,611,612,613,614,615,616,616,616,615,616,617,616,617,618,620,629,630,632,631,630,632
4,충북,청주시,흥덕구,550,550,550,551,553,553,554,554,554,556,562,563,563,563,561,563,560,558,558,557,557,557,556,555,555,552,551,551,551,563,563,563,563,562,562,562,562,562,562,562,561,561,582,580,580,577,576,575,575,575,574,574,573,573,577,577,577,577,577,579,580,580,586,587,587,589,591,591,592,594,594,596,693,694,699,703,706,711,713,715,719,724,729,730,735,734,735,734,734,736,734,735,733,733,735,736,736,736,737,743,749,753,765,770,771,771,772,772,770,771,771,771,770,773,775,779,782,793,797,802,805,806,809
5,충북,청주시,청원구,363,369,366,368,368,372,375,392,394,433,438,437,473,475,522,519,519,516,515,519,517,519,520,522,523,522,521,523,522,534,534,534,534,534,534,534,534,534,534,534,534,533,530,530,530,529,528,526,526,525,526,526,527,526,532,532,532,532,532,530,530,530,530,529,529,530,530,530,531,531,531,531,617,619,619,619,619,619,620,621,624,629,632,637,642,647,651,655,658,660,658,660,661,663,664,666,667,667,669,671,674,675,676,679,680,679,680,680,680,679,678,679,679,680,681,681,681,692,694,696,695,694,697
