"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"26","충청북도 청주시 흥덕구 복대동","2448","2448","0000","(2448-0)","108.0300","104.1100","202507","06","19,300","1","개인","개인","1992","신율로 77","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구","25.09.22"
"27","충청북도 청주시 흥덕구 복대동","870-5","0870","0005","충대풀하우스","17.6400","6.0600","202506","17","5,300","6","개인","개인","2014","사직대로 62","-","중개거래","충북 청주시 흥덕구","25.07.01"
"28","충청북도 청주시 흥덕구 봉명동","735-2","0735","0002","청일빌라(735-2)","58.1800","30.3375","202506","15","5,700","4","개인","개인","1991","1순환로549번길 34","-","중개거래","충북 청주시 흥덕구","25.06.19"
"29","충청북도 청주시 흥덕구 비하동","674-9","0674","0009","연흥빌라","45.4400","41.6667","202506","12","7,100","1","개인","개인","1989","청향로13번길 15","-","중개거래","충북 청주시 흥덕구","25.06.19"
"30","충청북도 청주시 흥덕구 복대동","834-1","0834","0001","태양(834-1)","77.8800","38.5200","202506","10","8,600","1","개인","개인","1982","월명로5번길 41","-","중개거래","충북 청주시 흥덕구","25.07.11"
"31","충청북도 청주시 흥덕구 봉명동","2318","2318","0000","더라움","72.1000","55.8400","202506","06","17,500","3","개인","개인","2013","송절로124번길 37","-","중개거래","충북 청주시 흥덕구","25.07.28"
"32","충청북도 청주시 흥덕구 오송읍 동평리","77-6","0077","0006","(77-6)","66.7400","76.1900","202506","05","18,000","4","개인","개인","2014","오송동평길 87","-","중개거래","충북 청주시 흥덕구","25.08.06"
"33","충청북도 청주시 흥덕구 봉명동","214-3","0214","0003","삼정","62.3300","58.6000","202506","05","5,600","2","개인","개인","1985","사직대로41번길 58","-","중개거래","충북 청주시 상당구","25.06.27"
"34","충청북도 청주시 흥덕구 오송읍 동평리","77-6","0077","0006","(77-6)","66.7400","76.1900","202506","05","18,000","4","개인","개인","2014","오송동평길 87","20250606","직거래","-","-"
"35","충청북도 청주시 흥덕구 비하동","674-9","0674","0009","연흥빌라","45.4400","41.6667","202505","28","6,600","2","개인","개인","1989","청향로13번길 15","-","직거래","-","25.05.28"
"36","충청북도 청주시 흥덕구 복대동","225-15","0225","0015","소망(225-15)","47.8200","39.5000","202505","20","4,300","4","개인","개인","1991","대신로40번길 68-3","-","직거래","-","25.05.21"
"37","충청북도 청주시 흥덕구 봉명동","176-26","0176","0026","한양빌라","42.5000","28.8200","202505","19","3,000","2","개인","개인","1990","1순환로570번길 57-4","-","직거래","-","25.05.28"
"38","충청북도 청주시 흥덕구 봉명동","815-4","0815","0004","극동B동","45.3600","43.7000","202505","17","4,900","3","개인","개인","1990","봉명로205번길 39-7","-","중개거래","충북 청주시 서원구","25.05.20"
"39","충청북도 청주시 흥덕구 운천동","1417","1417","0000","세종나동","45.9600","37.0600","202505","08","4,000","1","개인","개인","1990","사운로236번길 14-1","-","중개거래","충북 청주시 흥덕구","25.07.18"
"40","충청북도 청주시 흥덕구 원평동","410-3","0410","0003","엔케이하우스","81.4300","162.3345","202505","07","30,000","2","개인","개인","2024","원평로42번길 90","-","직거래","-","25.05.22"
"41","충청북도 청주시 흥덕구 비하동","165-26","0165","0026","한진1동","46.0200","34.5000","202505","07","3,000","1","개인","개인","1990","비하로 59-13","-","직거래","-","25.05.09"
"42","충청북도 청주시 흥덕구 복대동","11-2","0011","0002","소망나동","45.8400","46.2500","202505","01","3,600","1","개인","개인","1989","복대로209번길 17-12","-","중개거래","충북 청주시 흥덕구","25.05.09"
"43","충청북도 청주시 흥덕구 복대동","225-6","0225","0006","소망(225-6)","45.7800","30.6600","202504","29","5,400","3","개인","개인","1990","대신로40번길 70","-","중개거래","충북 청주시 흥덕구","25.06.19"
"44","충청북도 청주시 흥덕구 옥산면 오산리","226-3","0226","0003","오미타운","87.9400","64.5805","202504","29","7,400","3","개인","개인","2003","옥산시내1길 3-15","-","직거래","-","25.06.26"
"45","충청북도 청주시 흥덕구 봉명동","810-8","0810","0008","(810-8)","69.7100","45.1910","202504","29","16,500","5","개인","개인","2012","봉명로205번길 39","-","중개거래","충북 청주시 흥덕구","-"
"46","충청북도 청주시 흥덕구 비하동","673-10","0673","0010","우진비이동","45.7800","34.7400","202504","26","5,500","1","개인","개인","1990","청향로5번길 18","-","중개거래","충북 청주시 흥덕구","25.06.13"
"47","충청북도 청주시 흥덕구 봉명동","815","0815","0000","장미빌라","45.3600","41.8500","202504","18","6,250","2","개인","개인","1989","봉명로191번길 40-10","-","중개거래","충북 청주시 흥덕구","25.04.21"
"48","충청북도 청주시 흥덕구 봉명동","213-1","0213","0001","구림빌라","45.3300","34.4800","202504","18","4,000","3","개인","개인","1989","월명로35번길 23","-","중개거래","충북 청주시 흥덕구","25.05.07"
"49","충청북도 청주시 흥덕구 봉명동","815","0815","0000","장미빌라","45.3600","41.8500","202504","16","6,250","2","개인","개인","1989","봉명로191번길 40-10","20250417","중개거래","충북 청주시 흥덕구","-"
"50","충청북도 청주시 흥덕구 봉명동","2318-1","2318","0001","더라움","44.3600","34.1500","202504","15","9,900","1","개인","개인","2013","송절로124번길 33","-","중개거래","충북 청주시 흥덕구","25.06.02"
"51","충청북도 청주시 흥덕구 강내면 탑연리","150-21","0150","0021","푸르미르","33.8330","11.3100","202504","15","3,500","6","개인","개인","2012","탑연1길 13","-","직거래","-","25.04.17"
"52","충청북도 청주시 흥덕구 비하동","673-10","0673","0010","우진비이동","45.5700","34.5900","202504","14","7,000","3","개인","개인","1990","청향로5번길 18","-","중개거래","충북 청주시 흥덕구","-"
