□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 청원구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
51,충청북도 청주시 청원구 내수읍 은곡리,301,301,0,덕일한마음,38.61,202510,29,"2,850",-,7,개인,개인,1997,은곡묵방길 28,-,중개거래,충북 청주시 청원구,-
52,충청북도 청주시 청원구 주성동,337,337,0,대원칸타빌3차아파트,105.736,202510,29,"62,300",-,13,개인,개인,2015,율량로 135,-,중개거래,"충북 청주시 청원구, 충북 청주시 흥덕구",-
53,충청북도 청주시 청원구 율량동,1302,1302,0,대창3,34.79,202510,29,"5,750",201,1,개인,개인,1995,사뜸로52번길 15,-,중개거래,"충북 청주시 청원구, 충북 청주시 흥덕구",25.10.31
54,충청북도 청주시 청원구 내수읍 은곡리,301,301,0,덕일한마음,38.61,202510,28,"3,120",105동,8,개인,개인,1997,은곡묵방길 28,-,중개거래,충북 청주시 청원구,25.10.29
55,충청북도 청주시 청원구 사천동,684,684,0,남광하우스토리,84.5499,202510,28,"31,000",-,4,개인,개인,2011,율봉로 8,-,중개거래,충북 청주시 청원구,-
56,충청북도 청주시 청원구 율량동,2456,2456,0,제일풍경채,71.4011,202510,28,"29,800",-,25,개인,개인,2016,율중로7번길 100,-,중개거래,충북 청주시 청원구,-
57,충청북도 청주시 청원구 율량동,1302,1302,0,대창3,34.79,202510,28,"6,500",201,7,개인,개인,1995,사뜸로52번길 15,-,중개거래,충북 청주시 청원구,25.10.28
58,충청북도 청주시 청원구 오창읍 각리,637-1,637,1,한라비발디,84.573,202510,28,"26,500",-,15,개인,법인,2006,오창중앙로 94,-,중개거래,충북 청주시 청원구,-
59,충청북도 청주시 청원구 오창읍 각리,647-1,647,1,쌍용스윗닷홈오창예가,59.945,202510,28,"19,500",-,3,개인,법인,2006,오창중앙로 105,-,중개거래,충북 청주시 청원구,-
60,충청북도 청주시 청원구 율량동,2080,2080,0,율량7단지선광로즈웰1차,103.7399,202510,27,"49,000",-,9,개인,개인,2014,율량로 157,-,중개거래,충북 청주시 청원구,-
