□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
24,충청북도 청주시 상당구 남주동,23,23,0,청수,44.07,21.4162,202507,30,"4,500",2,개인,개인,1979,남사로112번길 38-2,-,직거래,-,25.08.04
25,충청북도 청주시 상당구 영운동,134-1,134,1,청남연립주택,53.9,75.5,202507,29,"5,700",1,개인,개인,1986,단재로77번길 20,-,중개거래,충북 청주시 상당구,25.08.13
26,충청북도 청주시 상당구 남일면 쌍수리,336-16,336,16,스카이빌,72.61,106.5516,202507,28,"10,000",3,개인,개인,2013,쌍수관기길 11-5,-,직거래,-,25.08.11
27,충청북도 청주시 상당구 남일면 쌍수리,450,450,0,(450-0),73.705,125.107,202507,26,"18,000",3,개인,개인,2018,쌍수관기길 20-11,-,중개거래,충북 청주시 상당구,25.10.27
28,충청북도 청주시 상당구 문의면 미천리,114-61,114,61,(114-61),40.29,40.636,202507,24,"14,200",4,개인,법인,2023,문의시내2길 20-3,-,중개거래,충북 청주시 상당구,25.08.01
29,충청북도 청주시 상당구 영운동,179-7,179,7,미림아트빌라2차,55.17,42.32,202507,16,"6,875",1,개인,개인,1994,수영로101번길 50,-,중개거래,충북 청주시 상당구,25.08.22
30,충청북도 청주시 상당구 영운동,8-84,84,8,청운,46.39,51.3344,202507,7,"3,000",2,개인,개인,1984,수영로136번길 35,-,직거래,-,25.07.08
31,충청북도 청주시 상당구 용담동,197-5,197,5,산호빌라,42.57,32.2593,202507,2,"4,500",4,개인,개인,2005,용담로115번길 73-1,-,중개거래,충북 청주시 상당구,25.07.11
32,충청북도 청주시 상당구 문의면 미천리,231-10,231,10,행복빌라,76.81,50.125,202506,30,"11,900",1,개인,개인,2003,문의시내1길 27-1,-,직거래,-,25.07.11
33,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,71.2074,119.0957,202506,26,"20,000",4,개인,법인,2012,명암로 7-36,-,중개거래,"충북 청주시 상당구, 충북 청주시 흥덕구",25.09.26
34,충청북도 청주시 상당구 용담동,151-3,151,3,건영빌라(151-3),44.22,51.5833,202506,16,"4,900",2,개인,개인,1992,당산로89번길 22,-,직거래,-,25.07.04
35,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,53.5712,89.5988,202506,15,"14,700",3,개인,개인,2012,명암로 7-36,-,중개거래,충북 청주시 상당구,25.08.12
