□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(전월세),,,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
23,충청북도 청주시 상당구 수동,427-6,427,6,(427-6),전세,69.69,202506,25,"14,000",0,4,2015,대성로 230-5,202411~202611,갱신,-,"14,000",0,연립다세대
24,충청북도 청주시 상당구 남일면 효촌리,45,45,0,한림A동B동,월세,48.21,202506,25,300,37,2,1991,효촌송정1길 44,202506~202706,신규,-,,,연립다세대
25,충청북도 청주시 상당구 남일면 효촌리,1-44,44,1,송정베스트빌,월세,72.24,202506,20,"2,000",76,2,2019,효촌송정1길 42,202507~202707,신규,-,,,연립다세대
26,충청북도 청주시 상당구 금천동,10-56,56,10,삼진5동,월세,37.29,202506,18,"1,000",35,3,1990,중고개로273번길 47-1,202506~202606,신규,-,,,연립다세대
27,충청북도 청주시 상당구 수동,344-33,344,33,OK빌,월세,53.65,202506,17,"1,000",0,2,2002,교동로3번길 76-10,202507~202606,신규,-,,,연립다세대
28,충청북도 청주시 상당구 수동,344-33,344,33,OK빌,월세,53.65,202506,17,"1,000",35,2,2002,교동로3번길 76-10,202507~202606,신규,-,,,연립다세대
29,충청북도 청주시 상당구 남일면 효촌리,7-49,49,7,백두C동,월세,37.58,202506,17,200,30,1,1990,효덕길 9,202506~202606,신규,-,,,연립다세대
30,충청북도 청주시 상당구 문의면 미천리,228-55,228,55,서진,월세,70.175,202506,16,500,50,3,2013,문의시내1길 14-36,202506~202606,신규,-,,,연립다세대
31,충청북도 청주시 상당구 남일면 송암리,416,416,0,송암해든마루,월세,84.74,202506,15,"1,000",50,3,2017,효촌송암길 77,202507~202707,갱신,-,"1,000",50,연립다세대
32,충청북도 청주시 상당구 금천동,9-54,54,9,금천동정원쉐르빌,월세,71.81,202506,10,"2,000",60,2,2016,꽃산동로8번길 30,202506~202706,신규,-,,,연립다세대
33,충청북도 청주시 상당구 남일면 효촌리,244-1,244,1,일송빌라,월세,27.8,202506,8,200,20,2,1998,효촌송암길 18-26,202506~202706,신규,-,,,연립다세대
34,충청북도 청주시 상당구 금천동,1-47,47,1,가인빌,전세,74.06,202505,28,"13,500",0,3,2012,중고개로 297-2,202506~202706,신규,-,,,연립다세대
35,충청북도 청주시 상당구 금천동,177-20,177,20,충도나동,전세,45.84,202505,11,"3,500",0,1,1989,쇠내로73번길 9-1,202506~202706,신규,-,,,연립다세대
36,충청북도 청주시 상당구 금천동,6-52,52,6,정원쉐르빌D,전세,71.0515,202505,9,"12,300",0,2,2015,꽃산동로 4-20,202506~202706,신규,-,,,연립다세대
37,충청북도 청주시 상당구 금천동,6-52,52,6,정원쉐르빌D,전세,71.0515,202505,9,"12,300",0,2,2015,꽃산동로 4-20,202506~202706,신규,-,,,연립다세대
38,충청북도 청주시 상당구 금천동,1-47,47,1,가인빌,전세,49.92,202505,4,"10,000",0,4,2012,중고개로 297-2,202506~202706,신규,-,,,연립다세대
39,충청북도 청주시 상당구 금천동,211,211,0,세진,전세,55.2,202504,30,"3,400",0,2,1985,수영로245번길 16,202504~202704,갱신,-,"3,000",0,연립다세대
40,충청북도 청주시 상당구 대성동,1-88,88,1,대성,월세,53.62,202504,23,200,20,1,1986,대성로122번길 56,202504~202604,신규,-,,,연립다세대
41,충청북도 청주시 상당구 미원면 미원리,486,486,0,(486-0),월세,73.8022,202504,10,"1,000",33,5,2012,미원시내2길 9-24,202504~202704,신규,-,,,연립다세대
42,충청북도 청주시 상당구 금천동,47-16,47,16,(47-16),전세,76.175,202504,5,"14,000",0,3,2013,중고개로 297-17,202504~202704,신규,-,,,연립다세대
43,충청북도 청주시 상당구 금천동,1-47,47,1,가인빌,월세,75.41,202504,1,"1,000",60,4,2012,중고개로 297-2,202503~202703,갱신,-,"1,000",60,연립다세대
44,충청북도 청주시 상당구 금천동,1-47,47,1,가인빌,월세,75.41,202504,1,"1,000",60,4,2012,중고개로 297-2,202503~202703,신규,-,,,연립다세대
45,충청북도 청주시 상당구 금천동,177-20,177,20,충도나동,전세,45.84,202503,25,"3,500",0,1,1989,쇠내로73번길 9-1,202503~202703,신규,-,,,연립다세대
46,충청북도 청주시 상당구 금천동,10-56,56,10,삼진5동,월세,37.29,202503,15,"1,000",35,3,1990,중고개로273번길 47-1,202503~202603,신규,-,,,연립다세대
47,충청북도 청주시 상당구 용담동,3-97,97,3,용담,월세,44.3,202503,15,500,30,1,1980,교동로139번길 43,202503~202703,신규,-,,,연립다세대
48,충청북도 청주시 상당구 수동,9-81,81,9,수암골올레하우스,월세,56.22,202503,12,"9,500",6,3,2016,수동로 39,202503~202703,신규,-,,,연립다세대
49,충청북도 청주시 상당구 용담동,5-83,83,5,청우파스텔시티ABC,월세,70.125,202503,11,"2,000",70,4,2015,산성로 155,202504~202704,신규,-,,,연립다세대
50,충청북도 청주시 상당구 남일면 효촌리,45,45,0,한림A동B동,월세,48.21,202503,11,500,40,1,1991,효촌송정1길 44,202504~202704,신규,-,,,연립다세대
51,충청북도 청주시 상당구 금천동,47-19,47,19,(47-19),월세,65.31,202503,11,"1,000",70,4,2014,중고개로 287-14,202504~202704,신규,-,,,연립다세대
52,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,월세,59.2093,202503,5,"13,600",20,3,2012,명암로 7-36,202505~202601,갱신,사용,"13,600",0,연립다세대
53,충청북도 청주시 상당구 용담동,100-5,100,5,동명라동,전세,42.2,202503,4,"2,500",0,1,1989,당산로109번길 42,202503~202703,신규,-,,,연립다세대
54,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,월세,53.5712,202502,24,"2,000",55,3,2012,명암로 7-36,202502~202602,신규,-,,,연립다세대
55,충청북도 청주시 상당구 서운동,01월 29일,29,1,조안빌,월세,49.59,202502,21,300,45,4,1991,상당로14번길 25,202502~202602,신규,-,,,연립다세대
56,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,월세,53.5712,202502,17,"2,000",60,1,2012,명암로 7-36,202502~202702,신규,-,,,연립다세대
57,충청북도 청주시 상당구 금천동,9-54,54,9,금천동정원쉐르빌,월세,71.81,202502,12,"12,500",12,2,2016,꽃산동로8번길 30,202503~202703,신규,-,,,연립다세대
58,충청북도 청주시 상당구 용암동,429-2,429,2,삼진동산빌리지,전세,121.59,202502,11,"20,000",0,4,1998,월평로253번길 110,202503~202703,신규,-,,,연립다세대
59,충청북도 청주시 상당구 용담동,2-87,87,2,청우테라스하우스,전세,84.48,202502,8,"19,000",0,1,2016,명암로 13-1,202504~202704,신규,-,,,연립다세대
60,충청북도 청주시 상당구 용담동,197-5,197,5,산호빌라,전세,49.86,202502,6,"4,000",0,3,2005,용담로115번길 73-1,202502~202702,신규,-,,,연립다세대
61,충청북도 청주시 상당구 용담동,3-97,97,3,용담,월세,44.3,202502,6,300,40,2,1980,교동로139번길 43,202502~202602,신규,-,,,연립다세대
62,충청북도 청주시 상당구 영운동,6-43,43,6,한신아트빌,월세,72.7,202502,5,"6,500",15,4,2002,쇠내로126번길 59-9,202502~202702,신규,-,,,연립다세대
63,충청북도 청주시 상당구 대성동,1-88,88,1,대성,월세,51.68,202501,22,500,40,2,1986,대성로122번길 56,202501~202601,신규,-,,,연립다세대
64,충청북도 청주시 상당구 영운동,145-7,145,7,하나아트빌A,월세,65.85,202501,19,"1,000",40,3,2012,수영로137번길 137-1,202502~202702,신규,-,,,연립다세대
65,충청북도 청주시 상당구 남일면 쌍수리,336-16,336,16,스카이빌,월세,63.34,202501,18,"1,000",35,2,2013,쌍수관기길 11-5,202505~202605,신규,-,,,연립다세대
66,충청북도 청주시 상당구 영동,47-45,47,45,은하수B,월세,71.19,202501,15,"3,000",40,2,2012,중앙로61번길 39-6,202502~202702,신규,-,,,연립다세대
67,충청북도 청주시 상당구 문의면 미천리,114-4,114,4,대청타운하우스,전세,71.26,202501,14,"1,200",0,1,2008,대청호반로 840,202501~202701,신규,-,,,연립다세대
68,충청북도 청주시 상당구 금천동,47-16,47,16,(47-16),전세,78.75,202501,10,"14,000",0,4,2013,중고개로 297-17,202502~202702,신규,-,,,연립다세대
69,충청북도 청주시 상당구 낭성면 현암리,8-70,70,8,현암힐빌리지,전세,71.37,202412,26,"6,300",0,2,2016,목련로 854,202501~202701,신규,-,,,연립다세대
70,충청북도 청주시 상당구 영운동,6-43,43,6,한신아트빌,월세,74.76,202412,23,"2,500",45,4,2002,쇠내로126번길 59-9,202502~202702,신규,-,,,연립다세대
71,충청북도 청주시 상당구 영동,47-45,47,45,은하수B,전세,68.46,202412,19,"9,000",0,4,2012,중앙로61번길 39-6,202501~202701,신규,-,,,연립다세대
72,충청북도 청주시 상당구 탑동,95-22,95,22,트라움빌라A동,월세,84.75,202412,17,"1,000",50,2,2014,산성로37번길 13,202502~202702,신규,-,,,연립다세대
73,충청북도 청주시 상당구 영운동,210-6,210,6,은하연립주택,월세,56.25,202412,14,500,40,2,1983,영운천로 15,202412~202612,신규,-,,,연립다세대
74,충청북도 청주시 상당구 영동,47-45,47,45,은하수B,전세,68.46,202412,13,"9,000",0,4,2012,중앙로61번길 39-6,202502~202702,신규,-,,,연립다세대
75,충청북도 청주시 상당구 문의면 미천리,114-137,114,137,대호빌라(114-137),전세,75.18,202412,12,"6,000",0,2,1991,문의시내2길 16-22,202502~202602,신규,-,,,연립다세대
76,충청북도 청주시 상당구 대성동,1-88,88,1,대성,전세,52.93,202411,29,"2,500",0,3,1986,대성로122번길 56,202406~202606,신규,-,,,연립다세대
77,충청북도 청주시 상당구 영운동,134-1,134,1,청남연립주택,월세,52.76,202411,1,0,13,3,1986,단재로77번길 20,202411~202610,신규,-,,,연립다세대
78,충청북도 청주시 상당구 영운동,8-60,60,8,정원쉐르빌(103동),전세,39.01,202410,30,"7,500",0,4,2017,영운천로69번길 22-13,202411~202611,신규,-,,,연립다세대
79,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,월세,59.2093,202410,28,"2,000",70,2,2012,명암로 7-36,202411~202611,신규,-,,,연립다세대
80,충청북도 청주시 상당구 금천동,157-8,157,8,건흥빌라,월세,57.79,202410,28,"1,000",20,1,1991,쇠내로46번길 8-13,202410~202610,신규,-,,,연립다세대
81,충청북도 청주시 상당구 남일면 송암리,416,416,0,송암해든마루,전세,84.74,202410,16,"10,000",0,3,2017,효촌송암길 77,202411~202511,신규,-,,,연립다세대
82,충청북도 청주시 상당구 남일면 효촌리,32-24,32,24,주원애뜰3차101동102동,전세,75.695,202410,15,"3,500",0,5,2014,효촌송정1길 22-8,202410~202610,신규,-,,,연립다세대
83,충청북도 청주시 상당구 금천동,120-2,120,2,금남,전세,49.14,202410,13,"3,500",0,1,1985,쇠내로126번길 16,202410~202610,신규,-,,,연립다세대
84,충청북도 청주시 상당구 미원면 내산리,120,120,0,"내산빌리지(A,B,C)",월세,69.65,202410,10,"2,000",40,2,2013,내산길 18,202410~202610,신규,-,,,연립다세대
